12:13:13.835 > 50,2.3079312,1.3125389,24.87,23.8869187,0.0000041282
12:13:13.843 > 51,2.3091114,1.3132688,24.87,23.9003490,0.0000044932
12:13:13.850 > 52,2.3093855,1.3138787,24.87,23.9030312,0.0000047981
12:13:13.857 > 53,2.3104055,1.3149194,24.87,23.9142280,0.0000053185
12:13:13.864 > 54,2.3104756,1.3157004,24.87,23.9142900,0.0000057090
12:13:13.872 > 55,2.3115230,1.3168330,24.87,23.9257249,0.0000062753
12:13:13.878 > 56,2.3114011,1.3172901,24.87,23.9238050,0.0000065038
12:13:13.886 > 57,2.3127706,1.3186555,24.87,23.9388732,0.0000071865
12:13:13.892 > 58,2.3131063,1.3194377,24.87,23.9421193,0.0000075777
12:13:13.900 > 59,2.3140783,1.3201555,24.87,23.9530669,0.0000079365
12:13:13.907 > 60,2.3143091,1.3212814,24.94,23.9547104,0.0000084995
12:13:13.915 > 61,2.3150311,1.3226451,24.94,23.9620100,0.0000091813
12:13:13.922 > 62,2.3160682,1.3230983,24.94,23.9740022,0.0000094079
12:13:13.928 > 63,2.3164020,1.3236327,24.94,23.9774732,0.0000096751
12:13:13.936 > 64,2.3165774,1.3244394,24.94,23.9787722,0.0000100785
12:13:13.943 > 65,2.3176968,1.3260187,24.94,23.9906264,0.0000108681
12:13:13.950 > 66,2.3172855,1.3271002,24.94,23.9846087,0.0000114089
12:13:13.957 > 67,2.3187039,1.3277016,24.94,24.0010285,0.0000117096
12:13:13.965 > 68,2.3185253,1.3294460,24.94,23.9971402,0.0000125818
12:13:13.972 > 69,2.3201869,1.3300114,24.94,24.0165143,0.0000128645
12:13:13.979 > 70,2.3195794,1.3312536,24.94,24.0079821,0.0000134856
12:13:13.985 > 71,2.3212965,1.3321389,24.94,24.0277000,0.0000139282
12:13:13.993 > 72,2.3209412,1.3334751,24.94,24.0221028,0.0000145963
12:13:14.000 > 73,2.3222628,1.3345091,24.94,24.0369265,0.0000151134
12:13:14.007 > 74,2.3219824,1.3360524,24.94,24.0320186,0.0000158850
12:13:14.015 > 75,2.3237829,1.3378115,24.94,24.0518660,0.0000167645
12:13:14.021 > 76,2.3229764,1.3392743,24.94,24.0407253,0.0000174959
12:13:14.029 > 77,2.3250704,1.3401542,24.94,24.0649728,0.0000179359
12:13:14.036 > 78,2.3245080,1.3413289,24.94,24.0570499,0.0000185232
12:13:14.043 > 79,2.3262293,1.3423835,24.94,24.0766519,0.0000190505
12:13:14.050 > 80,2.3264248,1.3441796,24.94,24.0772018,0.0000199486
12:13:14.057 > 81,2.3282642,1.3456451,25.00,24.0978082,0.0000206813
12:13:14.065 > 82,2.3285189,1.3465327,25.00,24.0999761,0.0000211251
12:13:14.072 > 83,2.3289728,1.3483235,25.00,24.1036328,0.0000220205
12:13:14.079 > 84,2.3287950,1.3495048,25.00,24.1003171,0.0000226112
12:13:14.086 > 85,2.3305078,1.3512200,25.00,24.1191555,0.0000234688
12:13:14.094 > 86,2.3303986,1.3528590,25.00,24.1162061,0.0000242883
12:13:14.100 > 87,2.3313758,1.3545223,25.00,24.1262692,0.0000251200
12:13:14.108 > 88,2.3314655,1.3557299,25.00,24.1261373,0.0000257238
12:13:14.115 > 89,2.3323460,1.3574475,25.00,24.1349865,0.0000265825
12:13:14.122 > 90,2.3326931,1.3589281,25.00,24.1376715,0.0000273228
12:13:14.129 > 91,2.3333659,1.3607358,25.00,24.1439377,0.0000282267
12:13:14.135 > 92,2.3337045,1.3625162,25.00,24.1462199,0.0000291169
12:13:14.143 > 93,2.3351071,1.3641301,25.00,24.1614383,0.0000299239
12:13:14.151 > 94,2.3347502,1.3654286,25.00,24.1558560,0.0000305731
12:13:14.158 > 95,2.3361485,1.3678036,25.00,24.1702618,0.0000317606
12:13:14.165 > 96,2.3361266,1.3697612,25.00,24.1680409,0.0000327394
12:13:14.172 > 97,2.3372414,1.3714886,25.00,24.1796917,0.0000336031
12:13:14.179 > 98,2.3380897,1.3736515,25.00,24.1877064,0.0000346845
12:13:14.187 > 99,2.3387873,1.3755324,25.00,24.1941988,0.0000356250
12:13:14.194 > 100,2.3397787,1.3780177,25.00,24.2036077,0.0000368676
12:13:14.201 > 101,2.3404469,1.3803384,25.00,24.2093074,0.0000380280
12:13:14.208 > 102,2.3410599,1.3822315,25.00,24.2147710,0.0000389745
12:13:14.215 > 103,2.3416679,1.3842385,25.00,24.2200577,0.0000399780
12:13:14.222 > 104,2.3417130,1.3863119,25.00,24.2185260,0.0000410147
12:13:14.230 > 105,2.3424077,1.3884931,25.00,24.2246818,0.0000421053
12:13:14.237 > 106,2.3430498,1.3909211,25.00,24.2299575,0.0000433193
12:13:14.244 > 107,2.3437140,1.3931510,25.00,24.2357003,0.0000444343
12:13:14.251 > 108,2.3442299,1.3954201,25.00,24.2396225,0.0000455688
12:13:14.258 > 109,2.3448946,1.3983830,25.00,24.2446361,0.0000470503
12:13:14.265 > 110,2.3453662,1.4007508,25.00,24.2479256,0.0000482342
12:13:14.272 > 111,2.3464460,1.4030629,25.00,24.2585719,0.0000493903
12:13:14.279 > 112,2.3461840,1.4059632,25.06,24.2525284,0.0000508404
12:13:14.286 > 113,2.3470054,1.4082583,25.06,24.2600885,0.0000519879
12:13:14.294 > 114,2.3480258,1.4113054,25.06,24.2692866,0.0000535115
12:13:14.301 > 115,2.3490031,1.4134470,25.06,24.2788733,0.0000545823
12:13:14.308 > 116,2.3493011,1.4168389,25.06,24.2790558,0.0000562782
12:13:14.316 > 117,2.3502200,1.4195278,25.06,24.2873952,0.0000576227
12:13:14.323 > 118,2.3495526,1.4219418,25.06,24.2769722,0.0000588297
12:13:14.329 > 119,2.3504593,1.4253385,25.06,24.2844569,0.0000605280
12:13:14.338 > 120,2.3503253,1.4283289,25.06,24.2798568,0.0000620232
12:13:14.345 > 121,2.3517888,1.4319859,25.06,24.2937626,0.0000638517
12:13:14.353 > 122,2.3527777,1.4346746,25.06,24.3029414,0.0000651961
12:13:14.360 > 123,2.3532877,1.4385124,25.06,24.3052223,0.0000671150
12:13:14.367 > 124,2.3534241,1.4415668,25.06,24.3038045,0.0000686422
12:13:14.375 > 125,2.3545270,1.4452987,25.06,24.3133077,0.0000705081
12:13:14.382 > 126,2.3539932,1.4482610,25.06,24.3039386,0.0000719893
12:13:14.390 > 127,2.3552642,1.4531226,25.06,24.3143301,0.0000744201
12:13:14.397 > 128,2.3557785,1.4561751,25.06,24.3174479,0.0000759463
12:13:14.403 > 129,2.3571932,1.4608197,25.06,24.3297824,0.0000782686
12:13:14.411 > 130,2.3571043,1.4648185,25.06,24.3247156,0.0000802680
12:13:14.418 > 131,2.3585842,1.4684882,25.06,24.3388032,0.0000821029
12:13:14.425 > 132,2.3578439,1.4724345,25.06,24.3259744,0.0000840760
