22:10:25.625 > DEBUG (obtain_Vbd) -> Ejecutandose
22:10:25.631 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:10:25.631 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.453539
22:10:25.631 > DEBUG (polarization_settling) → Channel 1
22:10:44.283 > DEBUG (obtain_Vbd) -> Ejecutandose
22:10:44.286 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:10:44.286 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.458835
22:10:44.287 > DEBUG (polarization_settling) → Channel 2
22:11:17.556 > -------------------- DATOS OBTENIDOS --------------------
22:11:17.557 > ------------------ -------------------
22:11:17.557 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
22:11:17.557 > 1,2.3257573,0.6314566,0.00,23.5716438,0.0000247166
22:11:17.563 > 2,2.3269453,0.6315613,0.00,23.5855465,0.0000248213
22:11:17.563 > 3,2.3278713,0.6317456,0.00,23.5962715,0.0000250056
22:11:17.566 > 4,2.3283951,0.6319603,0.00,23.6022224,0.0000252203
22:11:17.568 > 5,2.3291421,0.6320857,0.00,23.6109009,0.0000253456
22:11:17.573 > 6,2.3297849,0.6320482,0.00,23.6185207,0.0000253082
22:11:17.575 > 7,2.3304813,0.6322138,0.00,23.6265602,0.0000254738
22:11:17.577 > 8,2.3310893,0.6324365,0.00,23.6334953,0.0000256965
22:11:17.581 > 9,2.3317404,0.6324992,0.00,23.6411076,0.0000257591
22:11:17.583 > 10,2.3322952,0.6326666,0.00,23.6474743,0.0000259266
22:11:17.586 > 11,2.3330057,0.6328088,0.00,23.6557026,0.0000260687
22:11:17.591 > 12,2.3335688,0.6328682,0.00,23.6622810,0.0000261282
22:11:17.591 > 13,2.3342147,0.6330628,0.00,23.6696949,0.0000263227
22:11:17.594 > 14,2.3349679,0.6331208,0.00,23.6785145,0.0000263807
22:11:17.599 > 15,2.3355231,0.6333013,0.00,23.6848736,0.0000265613
22:11:17.601 > 16,2.3360591,0.6334291,0.00,23.6910610,0.0000266890
22:11:17.603 > 17,2.3367836,0.6336110,0.00,23.6994152,0.0000268709
22:11:17.607 > 18,2.3372288,0.6336882,0.00,23.7045822,0.0000269481
22:11:17.610 > 19,2.3379014,0.6339258,0.00,23.7122631,0.0000271857
22:11:17.613 > 20,2.3385456,0.6340932,0.00,23.7196846,0.0000273532
22:11:17.616 > 21,2.3391292,0.6340460,0.00,23.7266178,0.0000273059
22:11:17.621 > 22,2.3397434,0.6342780,0.00,23.7336159,0.0000275379
22:11:17.628 > 23,2.3403745,0.6344571,0.00,23.7408714,0.0000277171
22:11:17.628 > 24,2.3409736,0.6345062,0.00,23.7478867,0.0000277662
22:11:17.629 > 25,2.3415811,0.6347794,0.00,23.7547626,0.0000280393
22:11:17.632 > 26,2.3422556,0.6349548,0.00,23.7625332,0.0000282148
22:11:17.634 > 27,2.3429132,0.6350759,0.00,23.7701588,0.0000283359
22:11:17.637 > 28,2.3436275,0.6353261,0.00,23.7783203,0.0000285861
22:11:17.646 > 29,2.3441007,0.6353486,0.00,23.7838783,0.0000286086
22:11:17.646 > 30,2.3447378,0.6355152,0.00,23.7912159,0.0000287751
22:11:17.648 > 31,2.3454111,0.6357373,0.00,23.7989216,0.0000289972
22:11:17.649 > 32,2.3459175,0.6357715,0.00,23.8048573,0.0000290314
22:11:17.653 > 33,2.3465490,0.6360456,0.00,23.8120174,0.0000293055
22:11:17.661 > 34,2.3471141,0.6361957,0.00,23.8185253,0.0000294556
22:11:17.661 > 35,2.3477736,0.6362672,0.00,23.8262253,0.0000295272
22:11:17.663 > 36,2.3482800,0.6364941,0.00,23.8319588,0.0000297540
22:11:17.682 > 37,2.3489957,0.6367050,0.00,23.8401775,0.0000299650
22:11:17.682 > 38,2.3496571,0.6368182,0.00,23.8478584,0.0000300782
22:11:17.682 > 39,2.3502123,0.6370007,0.00,23.8542156,0.0000302606
22:11:17.682 > 40,2.3508539,0.6372130,0.00,23.8615589,0.0000304729
22:11:17.682 > 41,2.3514831,0.6375063,0.00,23.8686714,0.0000307662
22:11:17.682 > 42,2.3521833,0.6375157,0.00,23.8769188,0.0000307756
22:11:17.755 > 43,2.3526697,0.6378220,0.00,23.8823318,0.0000310820
22:11:17.755 > 44,2.3533404,0.6379983,0.00,23.8900566,0.0000312583
22:11:17.755 > 45,2.3538783,0.6381550,0.00,23.8962345,0.0000314150
22:11:17.755 > 46,2.3544686,0.6383047,0.00,23.9030399,0.0000315647
22:11:17.755 > 47,2.3551660,0.6385353,0.00,23.9110222,0.0000317953
22:11:17.755 > 48,2.3558476,0.6387528,0.00,23.9188309,0.0000320128
22:11:17.755 > 49,2.3563929,0.6389127,0.00,23.9250927,0.0000321727
22:11:17.755 > 50,2.3570108,0.6391246,0.00,23.9321575,0.0000323846
22:11:17.755 > 51,2.3576007,0.6392631,0.00,23.9389687,0.0000325230
22:11:17.755 > 52,2.3581936,0.6396148,0.00,23.9455910,0.0000328748
22:11:17.755 > 53,2.3588378,0.6398417,0.00,23.9529495,0.0000331016
22:11:17.755 > 54,2.3594360,0.6400540,0.00,23.9597836,0.0000333140
22:11:17.755 > 55,2.3601418,0.6402659,0.00,23.9678822,0.0000335259
22:11:17.755 > 56,2.3606737,0.6405073,0.00,23.9739017,0.0000337672
22:11:17.755 > 57,2.3613341,0.6407519,0.00,23.9814320,0.0000340118
22:11:17.755 > 58,2.3619678,0.6409722,0.00,23.9886742,0.0000342321
22:11:17.755 > 59,2.3624768,0.6412224,0.00,23.9944134,0.0000344824
22:11:17.755 > 60,2.3631091,0.6415021,0.00,24.0015774,0.0000347621
22:11:17.755 > 61,2.3638988,0.6416383,0.00,24.0107460,0.0000348982
22:11:17.755 > 62,2.3643019,0.6417519,0.00,24.0153809,0.0000350119
22:11:17.755 > 63,2.3649800,0.6420223,0.00,24.0230942,0.0000352822
22:11:17.755 > 64,2.3655918,0.6424792,0.00,24.0298271,0.0000357392
22:11:17.755 > 65,2.3661654,0.6426963,0.00,24.0363655,0.0000359562
22:11:17.755 > 66,2.3667912,0.6428618,0.00,24.0435715,0.0000361218
22:11:17.755 > 67,2.3674450,0.6431332,0.00,24.0509968,0.0000363931
22:11:17.755 > 68,2.3680007,0.6434498,0.00,24.0572186,0.0000367097
22:11:17.888 > 69,2.3686860,0.6437141,0.00,24.0650215,0.0000369740
22:11:17.888 > 70,2.3692884,0.6440232,0.00,24.0718021,0.0000372832
22:11:17.888 > 71,2.3698175,0.6442538,0.00,24.0777988,0.0000375138
22:11:17.888 > 72,2.3705251,0.6445499,0.00,24.0858326,0.0000378098
22:11:17.888 > 73,2.3711290,0.6447145,0.00,24.0927811,0.0000379745
22:11:17.888 > 74,2.3717418,0.6451290,0.00,24.0995731,0.0000383889
22:11:17.888 > 75,2.3724363,0.6453049,0.00,24.1075783,0.0000385648
22:11:17.888 > 76,2.3729143,0.6457394,0.00,24.1127586,0.0000389993
22:11:17.888 > 77,2.3735669,0.6461397,0.00,24.1200333,0.0000393997
22:11:17.888 > 78,2.3741360,0.6464236,0.00,24.1264458,0.0000396836
22:11:17.888 > 79,2.3747945,0.6466613,0.00,24.1339626,0.0000399212
22:11:17.888 > 80,2.3753347,0.6469634,0.00,24.1400166,0.0000402234
