22:41:39.977 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
22:41:39.979 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
22:41:55.860 > DEBUG (obtain_Vbd) -> Ejecutandose
22:41:55.863 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:41:55.864 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.441854
22:41:55.865 > DEBUG (polarization_settling) → Channel 1
22:42:14.646 > DEBUG (obtain_Vbd) -> Ejecutandose
22:42:14.650 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:42:14.650 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.437502
22:42:14.685 > DEBUG (polarization_settling) → Channel 2
22:42:47.693 > -------------------- DATOS OBTENIDOS --------------------
22:42:47.693 > ------------------ -------------------
22:42:47.693 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
22:42:47.693 > 1,2.3048882,0.6305328,0.00,23.3259945,0.0000242844
22:42:47.696 > 2,2.3061926,0.6305824,0.00,23.3413258,0.0000243340
22:42:47.699 > 3,2.3069739,0.6305637,0.00,23.3505592,0.0000243152
22:42:47.701 > 4,2.3077011,0.6307541,0.00,23.3589363,0.0000245056
22:42:47.704 > 5,2.3083692,0.6309182,0.00,23.3666401,0.0000246698
22:42:47.707 > 6,2.3087971,0.6310029,0.00,23.3715992,0.0000247545
22:42:47.709 > 7,2.3095782,0.6311886,0.00,23.3806133,0.0000249401
22:42:47.712 > 8,2.3103547,0.6312840,0.00,23.3896713,0.0000250356
22:42:47.714 > 9,2.3108139,0.6312335,0.00,23.3951416,0.0000249850
22:42:47.717 > 10,2.3115380,0.6315286,0.00,23.4033680,0.0000252802
22:42:47.720 > 11,2.3120773,0.6316778,0.00,23.4095726,0.0000254294
22:42:47.723 > 12,2.3128271,0.6318434,0.00,23.4182415,0.0000255949
22:42:47.726 > 13,2.3134735,0.6319814,0.00,23.4257183,0.0000257329
22:42:47.728 > 14,2.3139806,0.6319711,0.00,23.4317093,0.0000257227
22:42:47.731 > 15,2.3146470,0.6320730,0.00,23.4394588,0.0000258246
22:42:47.734 > 16,2.3152196,0.6322386,0.00,23.4460392,0.0000259902
22:42:47.736 > 17,2.3158841,0.6324716,0.00,23.4536324,0.0000262231
22:42:47.740 > 18,2.3165615,0.6325441,0.00,23.4615421,0.0000262957
22:42:47.742 > 19,2.3170853,0.6326199,0.00,23.4676399,0.0000263714
22:42:47.745 > 20,2.3177004,0.6328290,0.00,23.4746742,0.0000265805
22:42:47.748 > 21,2.3182359,0.6329267,0.00,23.4808884,0.0000266783
22:42:47.750 > 22,2.3189437,0.6330951,0.00,23.4890594,0.0000268466
22:42:47.753 > 23,2.3195765,0.6331119,0.00,23.4965038,0.0000268635
22:42:47.756 > 24,2.3201649,0.6334258,0.00,23.5031128,0.0000271773
22:42:47.758 > 25,2.3208296,0.6336236,0.00,23.5107441,0.0000273752
22:42:47.761 > 26,2.3213608,0.6337368,0.00,23.5168896,0.0000274884
22:42:47.764 > 27,2.3220401,0.6338425,0.00,23.5247879,0.0000275941
22:42:47.766 > 28,2.3226986,0.6341381,0.00,23.5322437,0.0000278897
22:42:47.769 > 29,2.3233306,0.6340918,0.00,23.5397453,0.0000278434
22:42:47.772 > 30,2.3239951,0.6342812,0.00,23.5473824,0.0000280328
22:42:47.774 > 31,2.3245444,0.6345731,0.00,23.5535526,0.0000283247
22:42:47.777 > 32,2.3251300,0.6346227,0.00,23.5604076,0.0000283743
22:42:47.780 > 33,2.3256211,0.6348673,0.00,23.5659409,0.0000286189
22:42:47.782 > 34,2.3262501,0.6349483,0.00,23.5732746,0.0000286998
22:42:47.785 > 35,2.3269958,0.6351582,0.00,23.5818481,0.0000289098
22:42:47.788 > 36,2.3275373,0.6352326,0.00,23.5881557,0.0000289842
22:42:47.791 > 37,2.3281651,0.6354824,0.00,23.5952969,0.0000292339
22:42:47.793 > 38,2.3287807,0.6356063,0.00,23.6024246,0.0000293579
22:42:47.795 > 39,2.3293989,0.6358252,0.00,23.6094856,0.0000295768
22:42:47.798 > 40,2.3299818,0.6360385,0.00,23.6161366,0.0000297901
22:42:47.801 > 41,2.3306680,0.6361012,0.00,23.6241627,0.0000298527
22:42:47.803 > 42,2.3312502,0.6362986,0.00,23.6308212,0.0000300502
22:42:47.806 > 43,2.3318045,0.6365516,0.00,23.6370926,0.0000303032
22:42:47.809 > 44,2.3324454,0.6367654,0.00,23.6444244,0.0000305169
22:42:47.811 > 45,2.3330796,0.6368187,0.00,23.6518478,0.0000305703
22:42:47.814 > 46,2.3336489,0.6370329,0.00,23.6583385,0.0000307845
22:42:47.816 > 47,2.3343124,0.6371901,0.00,23.6659985,0.0000309417
22:42:47.819 > 48,2.3349061,0.6375091,0.00,23.6726627,0.0000312607
22:42:47.821 > 49,2.3356278,0.6376606,0.00,23.6810150,0.0000314122
22:42:47.824 > 50,2.3361886,0.6378464,0.00,23.6874332,0.0000315979
22:42:47.827 > 51,2.3367662,0.6380133,0.00,23.6940689,0.0000317649
22:42:47.830 > 52,2.3373523,0.6381611,0.00,23.7008266,0.0000319127
22:42:47.832 > 53,2.3380058,0.6383725,0.00,23.7083111,0.0000321241
22:42:47.834 > 54,2.3386555,0.6386242,0.00,23.7157078,0.0000323758
22:42:47.837 > 55,2.3392386,0.6390175,0.00,23.7221737,0.0000327691
22:42:47.840 > 56,2.3398056,0.6391518,0.00,23.7287178,0.0000329033
22:42:47.843 > 57,2.3404651,0.6392734,0.00,23.7363663,0.0000330250
22:42:47.845 > 58,2.3410151,0.6394768,0.00,23.7426395,0.0000332284
22:42:47.848 > 59,2.3417299,0.6396635,0.00,23.7508717,0.0000334150
22:42:47.850 > 60,2.3423688,0.6400161,0.00,23.7580376,0.0000337677
22:42:47.853 > 61,2.3428216,0.6402215,0.00,23.7631607,0.0000339730
22:42:47.855 > 62,2.3436556,0.6405246,0.00,23.7726784,0.0000342761
22:42:47.858 > 63,2.3439956,0.6406752,0.00,23.7765293,0.0000344268
22:42:47.861 > 64,2.3448520,0.6408922,0.00,23.7864017,0.0000346438
22:42:47.864 > 65,2.3453937,0.6410915,0.00,23.7925797,0.0000348430
22:42:47.866 > 66,2.3460419,0.6413319,0.00,23.7999706,0.0000350835
22:42:47.868 > 67,2.3466284,0.6417009,0.00,23.8064995,0.0000354525
22:42:47.871 > 68,2.3472342,0.6419301,0.00,23.8134041,0.0000356817
22:42:47.874 > 69,2.3477941,0.6421121,0.00,23.8198147,0.0000358636
22:42:47.876 > 70,2.3484628,0.6424137,0.00,23.8273849,0.0000361653
22:42:47.879 > 71,2.3490481,0.6427370,0.00,23.8339481,0.0000364885
22:42:47.882 > 72,2.3496580,0.6428469,0.00,23.8410225,0.0000365984
22:42:47.884 > 73,2.3503408,0.6433263,0.00,23.8485737,0.0000370779
22:42:47.887 > 74,2.3509817,0.6436098,0.00,23.8558331,0.0000373613
22:42:47.889 > 75,2.3514886,0.6437637,0.00,23.8616486,0.0000375152
22:42:47.892 > 76,2.3521061,0.6441523,0.00,23.8685226,0.0000379039
22:42:47.895 > 77,2.3527470,0.6443726,0.00,23.8758507,0.0000381242
22:42:47.897 > 78,2.3533223,0.6447805,0.00,23.8822060,0.0000385321
22:42:47.899 > 79,2.3540523,0.6449629,0.00,23.8906231,0.0000387145
22:42:47.901 > 80,2.3545589,0.6453605,0.00,23.8961811,0.0000391120
22:42:47.904 > 81,2.3552573,0.6456416,0.00,23.9041195,0.0000393932
22:42:47.908 > 82,2.3557708,0.6458708,0.00,23.9099369,0.0000396224
22:42:47.910 > 83,2.3563807,0.6462216,0.00,23.9167595,0.0000399731
22:42:47.913 > 84,2.3570580,0.6466005,0.00,23.9243488,0.0000403520
22:42:47.915 > 85,2.3576708,0.6469414,0.00,23.9312172,0.0000406930
22:42:47.918 > 86,2.3582778,0.6471080,0.00,23.9382019,0.0000408595
22:42:47.921 > 87,2.3588855,0.6476276,0.00,23.9448223,0.0000413792
22:42:47.924 > 88,2.3594711,0.6479195,0.00,23.9514198,0.0000416710
22:42:47.926 > 89,2.3600857,0.6482459,0.00,23.9583263,0.0000419975
22:42:47.928 > 90,2.3607283,0.6486520,0.00,23.9654770,0.0000424035
22:42:47.931 > 91,2.3612106,0.6491234,0.00,23.9706688,0.0000428750
22:42:47.934 > 92,2.3620141,0.6493447,0.00,23.9799118,0.0000430962
22:42:47.936 > 93,2.3624909,0.6497521,0.00,23.9851074,0.0000435036
22:42:47.939 > 94,2.3630571,0.6502273,0.00,23.9912872,0.0000439789
22:42:47.942 > 95,2.3637676,0.6506623,0.00,23.9992085,0.0000444139
22:42:47.944 > 96,2.3644001,0.6510285,0.00,24.0062828,0.0000447801
22:42:47.946 > 97,2.3650999,0.6513582,0.00,24.0141888,0.0000451098
22:42:47.949 > 98,2.3656626,0.6518550,0.00,24.0203018,0.0000456066
22:42:47.952 > 99,2.3662205,0.6523382,0.00,24.0263748,0.0000460898
22:42:47.954 > 100,2.3668637,0.6528555,0.00,24.0334187,0.0000466071
22:42:47.957 > 101,2.3675184,0.6531553,0.00,24.0408230,0.0000469069
22:42:47.959 > 102,2.3680325,0.6536843,0.00,24.0463295,0.0000474359
22:42:47.962 > 103,2.3687522,0.6541137,0.00,24.0543671,0.0000478653
22:42:47.965 > 104,2.3692472,0.6545342,0.00,24.0597630,0.0000482858
22:42:47.967 > 105,2.3699362,0.6550146,0.00,24.0673828,0.0000487661
22:42:47.970 > 106,2.3705163,0.6556956,0.00,24.0735092,0.0000494471
22:42:47.972 > 107,2.3711836,0.6560066,0.00,24.0810528,0.0000497582
