16:57:19.756 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
16:57:19.756 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
16:57:35.638 > DEBUG (obtain_Vbd) -> Ejecutandose
16:57:35.641 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:57:35.641 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.446946
16:57:35.642 > DEBUG (polarization_settling) → Channel 1
16:57:54.124 > DEBUG (obtain_Vbd) -> Ejecutandose
16:57:54.128 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:57:54.128 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.435042
16:57:54.131 > DEBUG (polarization_settling) → Channel 2
16:58:26.256 > -------------------- DATOS OBTENIDOS --------------------
16:58:26.256 > ------------------ -------------------
16:58:26.257 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
16:58:26.257 > 1,2.3053007,0.6317522,0.00,23.3295021,0.0000255790
16:58:26.259 > 2,2.3066564,0.6318387,0.00,23.3453960,0.0000256656
16:58:26.262 > 3,2.3073194,0.6320029,0.00,23.3530445,0.0000258297
16:58:26.265 > 4,2.3080890,0.6321166,0.00,23.3619995,0.0000259434
16:58:26.268 > 5,2.3086727,0.6322251,0.00,23.3687687,0.0000260519
16:58:26.270 > 6,2.3093317,0.6323692,0.00,23.3763885,0.0000261960
16:58:26.273 > 7,2.3099983,0.6324117,0.00,23.3842068,0.0000262386
16:58:26.275 > 8,2.3105085,0.6325880,0.00,23.3900375,0.0000264149
16:58:26.278 > 9,2.3113377,0.6327223,0.00,23.3996754,0.0000265491
16:58:26.280 > 10,2.3118045,0.6329342,0.00,23.4049568,0.0000267610
16:58:26.283 > 11,2.3125119,0.6330441,0.00,23.4131851,0.0000268709
16:58:26.285 > 12,2.3131700,0.6331540,0.00,23.4208279,0.0000269808
16:58:26.290 > 13,2.3139071,0.6333196,0.00,23.4293480,0.0000271464
16:58:26.291 > 14,2.3143921,0.6333691,0.00,23.4350166,0.0000271960
16:58:26.293 > 15,2.3150427,0.6335600,0.00,23.4424858,0.0000273868
16:58:26.296 > 16,2.3154917,0.6337537,0.00,23.4475784,0.0000275805
16:58:26.298 > 17,2.3161762,0.6339141,0.00,23.4554825,0.0000277409
16:58:26.301 > 18,2.3167977,0.6341128,0.00,23.4626026,0.0000279397
16:58:26.304 > 19,2.3175101,0.6341246,0.00,23.4709930,0.0000279514
16:58:26.307 > 20,2.3179932,0.6343561,0.00,23.4764442,0.0000281829
16:58:26.310 > 21,2.3186982,0.6343482,0.00,23.4847679,0.0000281750
16:58:26.312 > 22,2.3192132,0.6346442,0.00,23.4905300,0.0000284711
16:58:26.315 > 23,2.3199539,0.6347162,0.00,23.4991894,0.0000285431
16:58:26.317 > 24,2.3205349,0.6349389,0.00,23.5058079,0.0000287657
16:58:26.320 > 25,2.3211594,0.6350577,0.00,23.5130463,0.0000288845
16:58:26.323 > 26,2.3216772,0.6352780,0.00,23.5189228,0.0000291048
16:58:26.325 > 27,2.3224096,0.6353514,0.00,23.5274811,0.0000291783
16:58:26.328 > 28,2.3229709,0.6355689,0.00,23.5338726,0.0000293958
16:58:26.330 > 29,2.3235574,0.6357532,0.00,23.5405960,0.0000295801
16:58:26.333 > 30,2.3241901,0.6357967,0.00,23.5480118,0.0000296236
16:58:26.336 > 31,2.3249190,0.6359113,0.00,23.5564861,0.0000297381
16:58:26.339 > 32,2.3254156,0.6362569,0.00,23.5619812,0.0000300838
16:58:26.342 > 33,2.3261580,0.6363075,0.00,23.5706825,0.0000301343
16:58:26.345 > 34,2.3266609,0.6365601,0.00,23.5763474,0.0000303869
16:58:26.347 > 35,2.3273039,0.6367579,0.00,23.5837231,0.0000305848
16:58:26.350 > 36,2.3279223,0.6369197,0.00,23.5908451,0.0000307466
16:58:26.354 > 37,2.3285277,0.6369983,0.00,23.5979023,0.0000308251
16:58:26.355 > 38,2.3292193,0.6374053,0.00,23.6056309,0.0000312321
16:58:26.358 > 39,2.3298130,0.6374577,0.00,23.6125774,0.0000312845
16:58:26.361 > 40,2.3303924,0.6377210,0.00,23.6191330,0.0000315478
16:58:26.363 > 41,2.3309033,0.6378936,0.00,23.6249771,0.0000317204
16:58:26.366 > 42,2.3316371,0.6379871,0.00,23.6335316,0.0000318140
16:58:26.369 > 43,2.3321390,0.6383103,0.00,23.6391106,0.0000321372
16:58:26.372 > 44,2.3327956,0.6383814,0.00,23.6467800,0.0000322083
16:58:26.375 > 45,2.3334289,0.6386981,0.00,23.6539154,0.0000325249
16:58:26.377 > 46,2.3339224,0.6388187,0.00,23.6596088,0.0000326456
16:58:26.380 > 47,2.3346624,0.6390830,0.00,23.6680584,0.0000329099
16:58:26.382 > 48,2.3352957,0.6392345,0.00,23.6753674,0.0000330614
16:58:26.385 > 49,2.3358803,0.6394614,0.00,23.6820240,0.0000332882
16:58:26.388 > 50,2.3364530,0.6395624,0.00,23.6886692,0.0000333893
16:58:26.390 > 51,2.3371265,0.6398791,0.00,23.6962814,0.0000337060
16:58:26.392 > 52,2.3376911,0.6401336,0.00,23.7026711,0.0000339604
16:58:26.395 > 53,2.3383281,0.6403562,0.00,23.7099495,0.0000341830
16:58:26.397 > 54,2.3389535,0.6405410,0.00,23.7171307,0.0000343678
16:58:26.400 > 55,2.3394594,0.6408244,0.00,23.7227993,0.0000346512
16:58:26.403 > 56,2.3402171,0.6409526,0.00,23.7315998,0.0000347794
16:58:26.406 > 57,2.3408346,0.6410905,0.00,23.7387371,0.0000349174
16:58:26.408 > 58,2.3413923,0.6415148,0.00,23.7448673,0.0000353416
16:58:26.411 > 59,2.3420653,0.6416874,0.00,23.7526226,0.0000355142
16:58:26.413 > 60,2.3426087,0.6419577,0.00,23.7587490,0.0000357845
16:58:26.416 > 61,2.3432813,0.6422154,0.00,23.7664089,0.0000360423
16:58:26.419 > 62,2.3438313,0.6424016,0.00,23.7726994,0.0000362284
16:58:26.421 > 63,2.3444190,0.6426163,0.00,23.7794056,0.0000364431
16:58:26.423 > 64,2.3450484,0.6429596,0.00,23.7864666,0.0000367864
16:58:26.426 > 65,2.3457482,0.6433263,0.00,23.7943344,0.0000371532
16:58:26.429 > 66,2.3462811,0.6435106,0.00,23.8004246,0.0000373374
16:58:26.431 > 67,2.3469620,0.6438605,0.00,23.8080864,0.0000376873
16:58:26.433 > 68,2.3475635,0.6440064,0.00,23.8150272,0.0000378333
16:58:26.436 > 69,2.3481398,0.6442417,0.00,23.8215752,0.0000380685
16:58:26.439 > 70,2.3487287,0.6445031,0.00,23.8282452,0.0000383300
16:58:26.441 > 71,2.3492987,0.6448198,0.00,23.8346367,0.0000386466
16:58:26.444 > 72,2.3498969,0.6451753,0.00,23.8413162,0.0000390021
16:58:26.446 > 73,2.3506024,0.6455135,0.00,23.8492813,0.0000393403
16:58:26.449 > 74,2.3511763,0.6457627,0.00,23.8557873,0.0000395896
16:58:26.451 > 75,2.3518555,0.6461949,0.00,23.8633442,0.0000400218
16:58:26.454 > 76,2.3524120,0.6464199,0.00,23.8696709,0.0000402468
16:58:26.457 > 77,2.3531070,0.6466917,0.00,23.8775806,0.0000405185
16:58:26.459 > 78,2.3536618,0.6470331,0.00,23.8837662,0.0000408599
16:58:26.462 > 79,2.3542531,0.6474162,0.00,23.8903351,0.0000412430
16:58:26.464 > 80,2.3547895,0.6478096,0.00,23.8962479,0.0000416364
16:58:26.467 > 81,2.3554757,0.6480739,0.00,23.9040642,0.0000419007
16:58:26.470 > 82,2.3560719,0.6484289,0.00,23.9107208,0.0000422557
16:58:26.472 > 83,2.3566198,0.6487880,0.00,23.9168053,0.0000426149
16:58:26.475 > 84,2.3572919,0.6490168,0.00,23.9244900,0.0000428436
16:58:26.477 > 85,2.3578916,0.6495383,0.00,23.9310150,0.0000433652
16:58:26.480 > 86,2.3585963,0.6498208,0.00,23.9390297,0.0000436476
16:58:26.482 > 87,2.3591831,0.6502638,0.00,23.9454842,0.0000440906
16:58:26.485 > 88,2.3597498,0.6506019,0.00,23.9518127,0.0000444288
16:58:26.488 > 89,2.3603849,0.6509046,0.00,23.9589844,0.0000447314
16:58:26.490 > 90,2.3610442,0.6513470,0.00,23.9662952,0.0000451739
16:58:26.493 > 91,2.3615801,0.6517937,0.00,23.9721451,0.0000456206
16:58:26.495 > 92,2.3622839,0.6521183,0.00,23.9801044,0.0000459452
16:58:26.497 > 93,2.3628602,0.6525216,0.00,23.9864769,0.0000463484
16:58:26.500 > 94,2.3634145,0.6529621,0.00,23.9925518,0.0000467890
16:58:26.503 > 95,2.3641405,0.6533836,0.00,24.0006714,0.0000472104
16:58:26.505 > 96,2.3646760,0.6539261,0.00,24.0064144,0.0000477530
16:58:26.508 > 97,2.3652809,0.6543429,0.00,24.0131092,0.0000481697
16:58:26.510 > 98,2.3658650,0.6547728,0.00,24.0195484,0.0000485996
16:58:26.513 > 99,2.3665774,0.6552699,0.00,24.0274258,0.0000490968
16:58:26.515 > 100,2.3671472,0.6556671,0.00,24.0337276,0.0000494939
16:58:26.518 > 101,2.3675797,0.6562845,0.00,24.0381813,0.0000501113
16:58:26.521 > 102,2.3683991,0.6565815,0.00,24.0475330,0.0000504083
16:58:26.523 > 103,2.3690050,0.6573205,0.00,24.0538998,0.0000511473
16:58:26.526 > 104,2.3695550,0.6575548,0.00,24.0601406,0.0000513816
16:58:26.528 > 105,2.3701911,0.6582513,0.00,24.0669117,0.0000520781
16:58:26.531 > 106,2.3707747,0.6587648,0.00,24.0732555,0.0000525917
16:58:26.533 > 107,2.3715363,0.6591858,0.00,24.0817928,0.0000530127
16:58:26.536 > 108,2.3720355,0.6597176,0.00,24.0871239,0.0000535445
16:58:26.539 > 109,2.3726299,0.6605680,0.00,24.0932388,0.0000543948
16:58:26.541 > 110,2.3731866,0.6609824,0.00,24.0993690,0.0000548092
16:58:26.544 > 111,2.3738966,0.6616812,0.00,24.1070080,0.0000555080
16:58:26.546 > 112,2.3745055,0.6621887,0.00,24.1136551,0.0000560155
16:58:26.549 > 113,2.3749564,0.6627317,0.00,24.1184025,0.0000565586
16:58:26.551 > 114,2.3757830,0.6635826,0.00,24.1272564,0.0000574094
16:58:26.554 > 115,2.3763919,0.6641237,0.00,24.1338692,0.0000579506
16:58:26.557 > 116,2.3769472,0.6646701,0.00,24.1398430,0.0000584969
16:58:26.559 > 117,2.3775494,0.6654507,0.00,24.1461277,0.0000592775
16:58:26.562 > 118,2.3782713,0.6660526,0.00,24.1540070,0.0000598795
16:58:26.564 > 119,2.3788185,0.6667281,0.00,24.1597500,0.0000605549
16:58:26.567 > 120,2.3794823,0.6674938,0.00,24.1667747,0.0000613206
16:58:26.570 > 121,2.3799887,0.6684507,0.00,24.1717415,0.0000622776
16:58:26.572 > 122,2.3805225,0.6691121,0.00,24.1773434,0.0000629389
16:58:26.574 > 123,2.3810647,0.6698764,0.00,24.1829338,0.0000637032
16:58:26.577 > 124,2.3817990,0.6704653,0.00,24.1909752,0.0000642921
16:58:26.579 > 125,2.3825197,0.6713516,0.00,24.1985435,0.0000651785
16:58:26.582 > 126,2.3830431,0.6722525,0.00,24.2037697,0.0000660793
16:58:26.585 > 127,2.3837619,0.6731341,0.00,24.2113209,0.0000669610
16:58:26.587 > 128,2.3842549,0.6738909,0.00,24.2163410,0.0000677178
16:58:26.590 > 129,2.3849201,0.6748784,0.00,24.2231483,0.0000687052
16:58:26.592 > 130,2.3855324,0.6756735,0.00,24.2295341,0.0000695003
16:58:26.595 > 131,2.3859968,0.6767119,0.00,24.2339191,0.0000705387
16:58:26.597 > 132,2.3867817,0.6775762,0.00,24.2422676,0.0000714031
16:58:26.600 > 133,2.3872564,0.6786132,0.00,24.2467785,0.0000724401
16:58:26.603 > 134,2.3878303,0.6795884,0.00,24.2525215,0.0000734153
16:58:26.605 > 135,2.3885815,0.6806694,0.00,24.2602463,0.0000744962
16:58:26.608 > 136,2.3892784,0.6815300,0.00,24.2675610,0.0000753568
16:58:26.610 > 137,2.3899193,0.6825356,0.00,24.2740612,0.0000763625
16:58:26.613 > 138,2.3903346,0.6837831,0.00,24.2776508,0.0000776100
16:58:26.615 > 139,2.3910563,0.6847822,0.00,24.2851124,0.0000786090
16:58:26.619 > 140,2.3916204,0.6861382,0.00,24.2903404,0.0000799650
16:58:26.621 > 141,2.3921812,0.6872453,0.00,24.2957916,0.0000810722
16:58:26.623 > 142,2.3928459,0.6884094,0.00,24.3024082,0.0000822363
16:58:26.626 > 143,2.3933549,0.6895886,0.00,24.3071728,0.0000834154
16:58:26.628 > 144,2.3939707,0.6906930,0.00,24.3132744,0.0000845198
16:58:26.631 > 145,2.3945563,0.6922529,0.00,24.3185425,0.0000860797
16:58:26.636 > 146,2.3953197,0.6934240,0.00,24.3263149,0.0000872509
16:58:26.637 > 147,2.3959160,0.6949830,0.00,24.3317108,0.0000888099
16:58:26.638 > 148,2.3964016,0.6963366,0.00,24.3360157,0.0000901635
16:58:26.641 > 149,2.3971186,0.6979550,0.00,24.3427715,0.0000917819
16:58:26.643 > 150,2.3975830,0.6990598,0.00,24.3470879,0.0000928866
16:58:26.646 > 151,2.3983848,0.7008929,0.00,24.3546200,0.0000947197
16:58:26.649 > 152,2.3989251,0.7025435,0.00,24.3592567,0.0000963703
16:58:26.653 > 153,2.3994625,0.7040768,0.00,24.3639851,0.0000979036
16:58:26.654 > 154,2.4001057,0.7058270,0.00,24.3697319,0.0000996538
16:58:26.657 > 155,2.4007249,0.7073261,0.00,24.3754597,0.0001011530
16:58:26.659 > 156,2.4012098,0.7089763,0.00,24.3794460,0.0001028031
16:58:26.662 > 157,2.4018209,0.7111087,0.00,24.3844128,0.0001049355
16:58:26.665 > 158,2.4024944,0.7126901,0.00,24.3906956,0.0001065170
16:58:26.667 > 159,2.4030912,0.7146518,0.00,24.3956718,0.0001084786
16:58:26.670 > 160,2.4037137,0.7165620,0.00,24.4010086,0.0001103889
16:58:26.672 > 161,2.4043334,0.7187052,0.00,24.4060650,0.0001125320
16:58:26.675 > 162,2.4049280,0.7204826,0.00,24.4112110,0.0001143094
16:58:26.677 > 163,2.4055533,0.7229035,0.00,24.4160442,0.0001167304
16:58:26.680 > 164,2.4060240,0.7247207,0.00,24.4196854,0.0001185476
16:58:26.683 > 165,2.4067452,0.7274224,0.00,24.4253540,0.0001212492
16:58:26.685 > 166,2.4074359,0.7294444,0.00,24.4313774,0.0001232712
16:58:26.688 > 167,2.4078751,0.7319182,0.00,24.4339581,0.0001257451
16:58:26.690 > 168,2.4085033,0.7340549,0.00,24.4391232,0.0001278817
16:58:26.693 > 169,2.4092443,0.7367719,0.00,24.4450092,0.0001305988
16:58:26.695 > 170,2.4097111,0.7394708,0.00,24.4476795,0.0001332976
16:58:26.698 > 171,2.4103518,0.7421355,0.00,24.4524364,0.0001359623
16:58:26.700 > 172,2.4110353,0.7448165,0.00,24.4576836,0.0001386433
16:58:26.703 > 173,2.4117177,0.7478601,0.00,24.4625340,0.0001416869
16:58:26.706 > 174,2.4123495,0.7508223,0.00,24.4668732,0.0001446492
16:58:26.708 > 175,2.4128852,0.7533167,0.00,24.4705715,0.0001471435
16:58:26.711 > 176,2.4134951,0.7563809,0.00,24.4745464,0.0001502077
16:58:26.713 > 177,2.4141006,0.7593141,0.00,24.4786091,0.0001531409
16:58:26.716 > 178,2.4147406,0.7626340,0.00,24.4826698,0.0001564609
16:58:26.719 > 179,2.4153280,0.7658132,0.00,24.4862595,0.0001596401
16:58:26.721 > 180,2.4158866,0.7689835,0.00,24.4895172,0.0001628104
16:58:26.724 > 181,2.4165719,0.7723966,0.00,24.4940147,0.0001662234
16:58:26.726 > 182,2.4171448,0.7759519,0.00,24.4970379,0.0001697787
16:58:26.729 > 183,2.4177725,0.7792470,0.00,24.5009804,0.0001730739
16:58:26.732 > 184,2.4183640,0.7831190,0.00,24.5038910,0.0001769458
16:58:26.735 > 185,2.4189665,0.7863824,0.00,24.5075684,0.0001802092
16:58:26.737 > 186,2.4196274,0.7903815,0.00,24.5111637,0.0001842083
16:58:26.739 > 187,2.4201896,0.7943380,0.00,24.5136395,0.0001881649
16:58:26.742 > 188,2.4207954,0.7981674,0.00,24.5167637,0.0001919942
16:58:26.744 > 189,2.4214623,0.8022185,0.00,24.5203743,0.0001960453
16:58:26.747 > 190,2.4220836,0.8062719,0.00,24.5234432,0.0002000987
16:58:26.749 > 191,2.4226925,0.8102658,0.00,24.5264301,0.0002040927
16:58:26.752 > 192,2.4233062,0.8142281,0.00,24.5295086,0.0002080549
16:58:26.755 > 193,2.4238272,0.8187104,0.00,24.5309448,0.0002125372
16:58:26.757 > 194,2.4245093,0.8229232,0.00,24.5345669,0.0002167501
