22:07:34.015 > DEBUG (obtain_Vbd) -> Ejecutandose
22:07:34.018 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:07:34.019 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.473604
22:07:34.019 > DEBUG (polarization_settling) → Channel 1
22:07:52.670 > DEBUG (obtain_Vbd) -> Ejecutandose
22:07:52.680 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:07:52.680 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.467592
22:07:52.680 > DEBUG (polarization_settling) → Channel 2
22:08:26.103 > -------------------- DATOS OBTENIDOS --------------------
22:08:26.105 > ------------------ -------------------
22:08:26.105 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
22:08:26.105 > 1,2.3354867,0.6320142,0.00,23.6860046,0.0000250758
22:08:26.113 > 2,2.3365858,0.6323144,0.00,23.6986485,0.0000253761
22:08:26.113 > 3,2.3374796,0.6324702,0.00,23.7090282,0.0000255318
22:08:26.115 > 4,2.3381054,0.6324931,0.00,23.7163830,0.0000255547
22:08:26.119 > 5,2.3389182,0.6326138,0.00,23.7258415,0.0000256754
22:08:26.122 > 6,2.3394706,0.6327073,0.00,23.7322578,0.0000257689
22:08:26.126 > 7,2.3401854,0.6328921,0.00,23.7404919,0.0000259537
22:08:26.130 > 8,2.3408477,0.6330432,0.00,23.7481441,0.0000261048
22:08:26.134 > 9,2.3413973,0.6331924,0.00,23.7544689,0.0000262540
22:08:26.139 > 10,2.3420377,0.6333607,0.00,23.7618427,0.0000264224
22:08:26.139 > 11,2.3427570,0.6333532,0.00,23.7703362,0.0000264149
22:08:26.142 > 12,2.3433571,0.6336124,0.00,23.7771397,0.0000266740
22:08:26.146 > 13,2.3439193,0.6338145,0.00,23.7835579,0.0000268761
22:08:26.159 > 14,2.3444245,0.6337798,0.00,23.7895527,0.0000268415
22:08:26.159 > 15,2.3451564,0.6340451,0.00,23.7979050,0.0000271067
22:08:26.159 > 16,2.3457303,0.6341189,0.00,23.8045940,0.0000271806
22:08:26.163 > 17,2.3463414,0.6344464,0.00,23.8114567,0.0000275080
22:08:26.165 > 18,2.3470180,0.6344604,0.00,23.8194218,0.0000275220
22:08:26.168 > 19,2.3475957,0.6346255,0.00,23.8260593,0.0000276871
22:08:26.170 > 20,2.3482089,0.6348037,0.00,23.8331051,0.0000278653
22:08:26.174 > 21,2.3488300,0.6349627,0.00,23.8402634,0.0000280244
22:08:26.177 > 22,2.3494213,0.6351082,0.00,23.8470821,0.0000281699
22:08:26.179 > 23,2.3500695,0.6351947,0.00,23.8546371,0.0000282564
22:08:26.183 > 24,2.3506548,0.6353168,0.00,23.8614120,0.0000283784
22:08:26.187 > 25,2.3513536,0.6354730,0.00,23.8694878,0.0000285347
22:08:26.188 > 26,2.3519397,0.6356120,0.00,23.8762512,0.0000286736
22:08:26.192 > 27,2.3525841,0.6357738,0.00,23.8836823,0.0000288354
22:08:26.195 > 28,2.3532128,0.6359922,0.00,23.8908672,0.0000290539
22:08:26.205 > 29,2.3538752,0.6360657,0.00,23.8985996,0.0000291273
22:08:26.205 > 30,2.3543732,0.6363075,0.00,23.9042187,0.0000293691
22:08:26.205 > 31,2.3549309,0.6364399,0.00,23.9106560,0.0000295015
