21:11:09.532 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
21:11:09.533 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
21:11:25.396 > DEBUG (obtain_Vbd) -> Ejecutandose
21:11:25.412 > DEBUG (obtain_Vbd) -> logaritmo calculado
21:11:25.412 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.459641
21:11:25.412 > DEBUG (polarization_settling) → Channel 1
21:11:43.890 > DEBUG (obtain_Vbd) -> Ejecutandose
21:11:43.893 > DEBUG (obtain_Vbd) -> logaritmo calculado
21:11:43.894 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.456821
21:11:43.895 > DEBUG (polarization_settling) → Channel 2
21:12:16.429 > -------------------- DATOS OBTENIDOS --------------------
21:12:16.429 > ------------------ -------------------
21:12:16.430 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
21:12:16.430 > 1,2.3210948,0.6327779,0.00,23.5150414,0.0000262601
21:12:16.433 > 2,2.3222561,0.6328350,0.00,23.5286751,0.0000263172
21:12:16.434 > 3,2.3229401,0.6330165,0.00,23.5365505,0.0000264986
21:12:16.437 > 4,2.3237114,0.6330684,0.00,23.5455933,0.0000265505
21:12:16.440 > 5,2.3243718,0.6332714,0.00,23.5531673,0.0000267535
21:12:16.441 > 6,2.3250463,0.6333995,0.00,23.5609875,0.0000268817
21:12:16.446 > 7,2.3256178,0.6335165,0.00,23.5676041,0.0000269986
21:12:16.448 > 8,2.3262291,0.6336727,0.00,23.5746479,0.0000271549
21:12:16.450 > 9,2.3269143,0.6338519,0.00,23.5825424,0.0000273340
21:12:16.453 > 10,2.3274915,0.6339173,0.00,23.5892811,0.0000273995
21:12:16.456 > 11,2.3281689,0.6341372,0.00,23.5970364,0.0000276194
21:12:16.459 > 12,2.3287573,0.6342859,0.00,23.6038208,0.0000277681
21:12:16.459 > 13,2.3293827,0.6344262,0.00,23.6110458,0.0000279084
21:12:16.464 > 14,2.3299692,0.6345530,0.00,23.6178303,0.0000280352
21:12:16.465 > 15,2.3307095,0.6345806,0.00,23.6265297,0.0000280628
21:12:16.465 > 16,2.3313079,0.6348318,0.00,23.6333237,0.0000283139
21:12:16.472 > 17,2.3319223,0.6349571,0.00,23.6404381,0.0000284393
21:12:16.474 > 18,2.3325450,0.6351447,0.00,23.6475849,0.0000286269
21:12:16.477 > 19,2.3330071,0.6352719,0.00,23.6529007,0.0000287541
21:12:16.480 > 20,2.3337288,0.6353425,0.00,23.6613369,0.0000288247
21:12:16.482 > 21,2.3342574,0.6355408,0.00,23.6673622,0.0000290230
21:12:16.485 > 22,2.3350127,0.6355993,0.00,23.6762085,0.0000290815
21:12:16.488 > 23,2.3356452,0.6359132,0.00,23.6833382,0.0000293953
21:12:16.490 > 24,2.3360975,0.6360545,0.00,23.6885223,0.0000295366
21:12:16.493 > 25,2.3368518,0.6361190,0.00,23.6973495,0.0000296012
