16:05:36.492 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
16:05:36.492 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
16:05:52.378 > DEBUG (obtain_Vbd) -> Ejecutandose
16:05:52.382 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:05:52.382 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.442378
16:05:52.382 > DEBUG (polarization_settling) → Channel 1
16:06:10.868 > DEBUG (obtain_Vbd) -> Ejecutandose
16:06:10.872 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:06:10.873 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.433630
16:06:10.875 > DEBUG (polarization_settling) → Channel 2
16:06:42.965 > -------------------- DATOS OBTENIDOS --------------------
16:06:42.965 > ------------------ -------------------
16:06:42.965 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
16:06:42.965 > 1,2.3048027,0.6314805,0.00,23.3237095,0.0000255010
16:06:42.968 > 2,2.3061497,0.6317040,0.00,23.3393612,0.0000257245
16:06:42.970 > 3,2.3069162,0.6317466,0.00,23.3483543,0.0000257671
16:06:42.973 > 4,2.3077204,0.6320094,0.00,23.3575611,0.0000260299
16:06:42.975 > 5,2.3083711,0.6320922,0.00,23.3651485,0.0000261127
16:06:42.978 > 6,2.3089411,0.6321778,0.00,23.3717823,0.0000261983
16:06:42.980 > 7,2.3096516,0.6323766,0.00,23.3799496,0.0000263971
16:06:42.983 > 8,2.3102574,0.6325300,0.00,23.3869343,0.0000265505
16:06:42.985 > 9,2.3108513,0.6326409,0.00,23.3938217,0.0000266614
16:06:42.989 > 10,2.3114922,0.6328027,0.00,23.4012089,0.0000268232
16:06:42.991 > 11,2.3121274,0.6328748,0.00,23.4086227,0.0000268953
16:06:42.993 > 12,2.3127172,0.6330862,0.00,23.4153576,0.0000271067
16:06:42.995 > 13,2.3133585,0.6331741,0.00,23.4228268,0.0000271946
16:06:42.998 > 14,2.3140020,0.6332607,0.00,23.4303265,0.0000272812
16:06:43.002 > 15,2.3147101,0.6334496,0.00,23.4384785,0.0000274701
16:06:43.005 > 16,2.3152144,0.6335216,0.00,23.4443493,0.0000275421
