15:43:40.131 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
15:43:40.131 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
15:43:56.010 > DEBUG (obtain_Vbd) -> Ejecutandose
15:43:56.014 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:43:56.014 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.436740
15:43:56.015 > DEBUG (polarization_settling) → Channel 1
15:44:14.516 > DEBUG (obtain_Vbd) -> Ejecutandose
15:44:14.520 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:44:14.520 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.442024
15:44:14.522 > DEBUG (polarization_settling) → Channel 2
15:44:46.787 > -------------------- DATOS OBTENIDOS --------------------
15:44:46.787 > ------------------ -------------------
15:44:46.788 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
15:44:46.788 > 1,2.3040104,0.6312653,0.00,23.3147030,0.0000251810
15:44:46.790 > 2,2.3054247,0.6313944,0.00,23.3312454,0.0000253101
15:44:46.792 > 3,2.3062265,0.6314725,0.00,23.3406200,0.0000253882
15:44:46.794 > 4,2.3068256,0.6316259,0.00,23.3475227,0.0000255416
15:44:46.797 > 5,2.3075645,0.6317068,0.00,23.3561516,0.0000256225
15:44:46.800 > 6,2.3082836,0.6318008,0.00,23.3645325,0.0000257165
15:44:46.802 > 7,2.3089027,0.6320810,0.00,23.3715401,0.0000259967
15:44:46.804 > 8,2.3095524,0.6321054,0.00,23.3791752,0.0000260211
15:44:46.807 > 9,2.3100445,0.6323369,0.00,23.3847370,0.0000262526
15:44:46.810 > 10,2.3107007,0.6323659,0.00,23.3924427,0.0000262816
15:44:46.813 > 11,2.3114023,0.6324697,0.00,23.4006100,0.0000263854
15:44:46.816 > 12,2.3118415,0.6326367,0.00,23.4056129,0.0000265524
15:44:46.818 > 13,2.3124781,0.6327158,0.00,23.4130363,0.0000266315
15:44:46.820 > 14,2.3131742,0.6329136,0.00,23.4210377,0.0000268293
15:44:46.823 > 15,2.3138416,0.6331119,0.00,23.4286995,0.0000270276
15:44:46.825 > 16,2.3145132,0.6332022,0.00,23.4365273,0.0000271179
15:44:46.828 > 17,2.3150222,0.6333247,0.00,23.4424000,0.0000272405
15:44:46.830 > 18,2.3157930,0.6334786,0.00,23.4513264,0.0000273944
15:44:46.833 > 19,2.3162804,0.6336157,0.00,23.4569302,0.0000275314
15:44:46.835 > 20,2.3168988,0.6338074,0.00,23.4640217,0.0000277231
15:44:46.838 > 21,2.3174777,0.6339641,0.00,23.4706841,0.0000278798
15:44:46.841 > 22,2.3182120,0.6340436,0.00,23.4792614,0.0000279593
15:44:46.843 > 23,2.3187799,0.6341985,0.00,23.4857960,0.0000281142
15:44:46.846 > 24,2.3193669,0.6342419,0.00,23.4926720,0.0000281577
15:44:46.849 > 25,2.3199358,0.6345549,0.00,23.4990520,0.0000284706
15:44:46.852 > 26,2.3206608,0.6345497,0.00,23.5076084,0.0000284655
15:44:46.854 > 27,2.3213258,0.6348168,0.00,23.5151691,0.0000287325
15:44:46.857 > 28,2.3218970,0.6349033,0.00,23.5218143,0.0000288190
15:44:46.859 > 29,2.3224578,0.6352298,0.00,23.5280838,0.0000291455
15:44:46.862 > 30,2.3231032,0.6353673,0.00,23.5355530,0.0000292830
15:44:46.864 > 31,2.3236206,0.6355142,0.00,23.5414982,0.0000294299
15:44:46.867 > 32,2.3243611,0.6357803,0.00,23.5499516,0.0000296960
15:44:46.869 > 33,2.3249180,0.6357696,0.00,23.5565300,0.0000296853
15:44:46.872 > 34,2.3255253,0.6359548,0.00,23.5634975,0.0000298705
15:44:46.874 > 35,2.3260870,0.6361559,0.00,23.5699120,0.0000300716
15:44:46.877 > 36,2.3267207,0.6364591,0.00,23.5770664,0.0000303748
15:44:46.880 > 37,2.3273914,0.6364974,0.00,23.5849361,0.0000304131
15:44:46.882 > 38,2.3279181,0.6367032,0.00,23.5909290,0.0000306189
15:44:46.885 > 39,2.3287039,0.6368594,0.00,23.6000309,0.0000307751
15:44:46.887 > 40,2.3291497,0.6368809,0.00,23.6052666,0.0000307966
15:44:46.890 > 41,2.3298876,0.6372537,0.00,23.6135769,0.0000311694
15:44:46.892 > 42,2.3304243,0.6374502,0.00,23.6196995,0.0000313659
15:44:46.895 > 43,2.3312283,0.6376176,0.00,23.6290054,0.0000315333
15:44:46.898 > 44,2.3317029,0.6377486,0.00,23.6344662,0.0000316643
15:44:46.900 > 45,2.3322129,0.6379726,0.00,23.6402435,0.0000318883
15:44:46.903 > 46,2.3329492,0.6381550,0.00,23.6487350,0.0000320708
15:44:46.905 > 47,2.3336310,0.6383706,0.00,23.6565495,0.0000322863
15:44:46.908 > 48,2.3341918,0.6385199,0.00,23.6630058,0.0000324356
15:44:46.911 > 49,2.3347144,0.6387589,0.00,23.6689186,0.0000326746
15:44:46.913 > 50,2.3353574,0.6390241,0.00,23.6762238,0.0000329398
15:44:46.916 > 51,2.3359687,0.6391578,0.00,23.6832905,0.0000330735
15:44:46.918 > 52,2.3365571,0.6392907,0.00,23.6900921,0.0000332064
15:44:46.921 > 53,2.3372934,0.6396270,0.00,23.6984196,0.0000335427
15:44:46.923 > 54,2.3377135,0.6397411,0.00,23.7032547,0.0000336568
15:44:46.926 > 55,2.3383667,0.6400297,0.00,23.7106552,0.0000339454
15:44:46.928 > 56,2.3390179,0.6401930,0.00,23.7181625,0.0000341087
15:44:46.931 > 57,2.3396587,0.6404806,0.00,23.7254181,0.0000343964
15:44:46.934 > 58,2.3402257,0.6407435,0.00,23.7318268,0.0000346592
15:44:46.936 > 59,2.3408463,0.6408950,0.00,23.7389870,0.0000348107
15:44:46.939 > 60,2.3414080,0.6412458,0.00,23.7452412,0.0000351616
15:44:46.941 > 61,2.3420517,0.6413730,0.00,23.7526989,0.0000352888
15:44:46.944 > 62,2.3426120,0.6417426,0.00,23.7589207,0.0000356583
15:44:46.948 > 63,2.3433206,0.6419100,0.00,23.7671013,0.0000358257
15:44:46.950 > 64,2.3439600,0.6421350,0.00,23.7744045,0.0000360507
15:44:46.952 > 65,2.3446195,0.6423988,0.00,23.7819042,0.0000363145
15:44:46.955 > 66,2.3452036,0.6426317,0.00,23.7885494,0.0000365474
15:44:46.957 > 67,2.3458521,0.6429545,0.00,23.7958565,0.0000368702
15:44:46.960 > 68,2.3463576,0.6432472,0.00,23.8015099,0.0000371630
15:44:46.963 > 69,2.3470228,0.6435378,0.00,23.8090496,0.0000374535
15:44:46.965 > 70,2.3475816,0.6436874,0.00,23.8154812,0.0000376031
15:44:46.968 > 71,2.3481321,0.6440368,0.00,23.8216076,0.0000379525
15:44:46.971 > 72,2.3488746,0.6443095,0.00,23.8300762,0.0000382252
15:44:46.973 > 73,2.3494816,0.6445939,0.00,23.8369370,0.0000385096
15:44:46.976 > 74,2.3500986,0.6449208,0.00,23.8438683,0.0000388365
15:44:46.978 > 75,2.3507342,0.6451631,0.00,23.8511105,0.0000390788
15:44:46.981 > 76,2.3513246,0.6454269,0.00,23.8577957,0.0000393426
15:44:46.984 > 77,2.3518620,0.6457272,0.00,23.8638172,0.0000396429
15:44:46.986 > 78,2.3525155,0.6460354,0.00,23.8712006,0.0000399511
15:44:46.989 > 79,2.3531899,0.6463774,0.00,23.8787975,0.0000402931
15:44:46.991 > 80,2.3537800,0.6466337,0.00,23.8854847,0.0000405494
15:44:46.994 > 81,2.3543067,0.6470196,0.00,23.8912907,0.0000409353
15:44:46.997 > 82,2.3548994,0.6472427,0.00,23.8980465,0.0000411584
15:44:46.999 > 83,2.3555534,0.6477169,0.00,23.9052601,0.0000416327
15:44:47.002 > 84,2.3561559,0.6479120,0.00,23.9121609,0.0000418277
15:44:47.004 > 85,2.3568056,0.6483465,0.00,23.9193668,0.0000422623
15:44:47.006 > 86,2.3574841,0.6487329,0.00,23.9269619,0.0000426486
15:44:47.009 > 87,2.3580225,0.6489424,0.00,23.9330902,0.0000428581
15:44:47.013 > 88,2.3586779,0.6494696,0.00,23.9402657,0.0000433853
15:44:47.014 > 89,2.3592727,0.6498227,0.00,23.9469109,0.0000437384
15:44:47.017 > 90,2.3599033,0.6501450,0.00,23.9540081,0.0000440607
15:44:47.019 > 91,2.3604772,0.6505585,0.00,23.9603424,0.0000444742
15:44:47.022 > 92,2.3611226,0.6509074,0.00,23.9675865,0.0000448231
15:44:47.025 > 93,2.3616691,0.6513774,0.00,23.9735374,0.0000452932
15:44:47.027 > 94,2.3623543,0.6517587,0.00,23.9812183,0.0000456744
15:44:47.030 > 95,2.3628650,0.6520846,0.00,23.9868984,0.0000460004
15:44:47.033 > 96,2.3635488,0.6525683,0.00,23.9944534,0.0000464840
15:44:47.035 > 97,2.3640704,0.6530164,0.00,24.0001354,0.0000469321
15:44:47.038 > 98,2.3647339,0.6534944,0.00,24.0074596,0.0000474101
15:44:47.040 > 99,2.3653510,0.6538420,0.00,24.0143681,0.0000477577
15:44:47.043 > 100,2.3660848,0.6543990,0.00,24.0224400,0.0000483147
15:44:47.045 > 101,2.3666925,0.6547933,0.00,24.0291920,0.0000487090
15:44:47.048 > 102,2.3672140,0.6554229,0.00,24.0346794,0.0000493386
15:44:47.051 > 103,2.3678544,0.6557119,0.00,24.0419273,0.0000496277
15:44:47.053 > 104,2.3685110,0.6561750,0.00,24.0491848,0.0000500907
15:44:47.056 > 105,2.3690336,0.6567718,0.00,24.0547199,0.0000506876
15:44:47.058 > 106,2.3697248,0.6572223,0.00,24.0623989,0.0000511380
15:44:47.061 > 107,2.3701620,0.6576900,0.00,24.0670643,0.0000516057
