14:56:09.960 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
14:56:09.960 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
14:56:25.849 > DEBUG (obtain_Vbd) -> Ejecutandose
14:56:25.853 > DEBUG (obtain_Vbd) -> logaritmo calculado
14:56:25.853 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.435350
14:56:25.854 > DEBUG (polarization_settling) → Channel 1
14:56:44.345 > DEBUG (obtain_Vbd) -> Ejecutandose
14:56:44.348 > DEBUG (obtain_Vbd) -> logaritmo calculado
14:56:44.348 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.434734
14:56:44.351 > DEBUG (polarization_settling) → Channel 2
14:57:16.490 > -------------------- DATOS OBTENIDOS --------------------
14:57:16.490 > ------------------ -------------------
14:57:16.490 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
14:57:16.490 > 1,2.3013597,0.6310992,0.00,23.2836704,0.0000249640
14:57:16.492 > 2,2.3029888,0.6310979,0.00,23.3028831,0.0000249626
14:57:16.495 > 3,2.3036346,0.6312947,0.00,23.3102951,0.0000251595
14:57:16.499 > 4,2.3043339,0.6314959,0.00,23.3183289,0.0000253606
14:57:16.501 > 5,2.3049321,0.6316044,0.00,23.3252697,0.0000254691
14:57:16.503 > 6,2.3056273,0.6316372,0.00,23.3334332,0.0000255019
14:57:16.505 > 7,2.3063765,0.6317700,0.00,23.3421288,0.0000256347
14:57:16.508 > 8,2.3068597,0.6320165,0.00,23.3475685,0.0000258812
14:57:16.510 > 9,2.3074827,0.6321849,0.00,23.3547401,0.0000260496
14:57:16.513 > 10,2.3082302,0.6322185,0.00,23.3635178,0.0000260833
14:57:16.515 > 11,2.3088365,0.6324028,0.00,23.3704739,0.0000262676
14:57:16.518 > 12,2.3094158,0.6325647,0.00,23.3771362,0.0000264294
14:57:16.520 > 13,2.3100717,0.6326030,0.00,23.3848305,0.0000264677
14:57:16.523 > 14,2.3106568,0.6327260,0.00,23.3916016,0.0000265908
14:57:16.525 > 15,2.3112330,0.6328897,0.00,23.3982258,0.0000267545
14:57:16.528 > 16,2.3118992,0.6329936,0.00,23.4059715,0.0000268583
14:57:16.531 > 17,2.3125758,0.6331479,0.00,23.4137878,0.0000270126
14:57:16.533 > 18,2.3130620,0.6333954,0.00,23.4192619,0.0000272601
14:57:16.536 > 19,2.3137457,0.6334365,0.00,23.4272823,0.0000273013
14:57:16.538 > 20,2.3143547,0.6336863,0.00,23.4342003,0.0000275511
14:57:16.541 > 21,2.3148954,0.6337481,0.00,23.4405117,0.0000276128
14:57:16.543 > 22,2.3156292,0.6338556,0.00,23.4490547,0.0000277203
14:57:16.546 > 23,2.3162861,0.6340979,0.00,23.4565468,0.0000279626
14:57:16.549 > 24,2.3167827,0.6341732,0.00,23.4623222,0.0000280380
14:57:16.552 > 25,2.3174033,0.6343682,0.00,23.4694366,0.0000282330
14:57:16.555 > 26,2.3181171,0.6345881,0.00,23.4776249,0.0000284528
14:57:16.557 > 27,2.3186131,0.6346793,0.00,23.4833755,0.0000285441
14:57:16.560 > 28,2.3193572,0.6348243,0.00,23.4920006,0.0000286890
14:57:16.562 > 29,2.3199344,0.6349735,0.00,23.4986477,0.0000288382
14:57:16.565 > 30,2.3204265,0.6350380,0.00,23.5043850,0.0000289028
14:57:16.568 > 31,2.3211462,0.6352855,0.00,23.5126133,0.0000291502
14:57:16.570 > 32,2.3216972,0.6354791,0.00,23.5189075,0.0000293438
14:57:16.573 > 33,2.3223310,0.6354787,0.00,23.5263805,0.0000293434
14:57:16.575 > 34,2.3229723,0.6357859,0.00,23.5336208,0.0000296507
14:57:16.578 > 35,2.3236187,0.6360165,0.00,23.5410023,0.0000298813
14:57:16.580 > 36,2.3241894,0.6360058,0.00,23.5477428,0.0000298705
14:57:16.583 > 37,2.3246210,0.6362687,0.00,23.5525570,0.0000301334
14:57:16.585 > 38,2.3253796,0.6364754,0.00,23.5612869,0.0000303401
14:57:16.587 > 39,2.3259878,0.6365731,0.00,23.5683575,0.0000304379
14:57:16.590 > 40,2.3267016,0.6368005,0.00,23.5765362,0.0000306652
14:57:16.592 > 41,2.3272703,0.6370605,0.00,23.5829697,0.0000309253
14:57:16.595 > 42,2.3278410,0.6372116,0.00,23.5895405,0.0000310764
14:57:16.598 > 43,2.3284500,0.6372177,0.00,23.5967159,0.0000310825
14:57:16.601 > 44,2.3291183,0.6375259,0.00,23.6042709,0.0000313907
14:57:16.603 > 45,2.3297153,0.6377219,0.00,23.6111069,0.0000315866
14:57:16.606 > 46,2.3303607,0.6379006,0.00,23.6185303,0.0000317653
14:57:16.608 > 47,2.3309734,0.6380821,0.00,23.6255646,0.0000319468
14:57:16.611 > 48,2.3315103,0.6382729,0.00,23.6316967,0.0000321376
14:57:16.613 > 49,2.3321245,0.6385152,0.00,23.6386852,0.0000323799
14:57:16.616 > 50,2.3327382,0.6387215,0.00,23.6457062,0.0000325862
14:57:16.618 > 51,2.3333957,0.6389740,0.00,23.6531944,0.0000328388
14:57:16.621 > 52,2.3340535,0.6392757,0.00,23.6606350,0.0000331405
14:57:16.623 > 53,2.3347237,0.6393356,0.00,23.6684761,0.0000332003
