18:33:00.050 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
18:33:00.050 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
18:33:15.940 > DEBUG (obtain_Vbd) -> Ejecutandose
18:33:15.944 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:33:15.944 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.432925
18:33:15.945 > DEBUG (polarization_settling) → Channel 1
18:33:34.437 > DEBUG (obtain_Vbd) -> Ejecutandose
18:33:34.440 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:33:34.440 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.433903
18:33:34.443 > DEBUG (polarization_settling) → Channel 2
18:34:06.566 > -------------------- DATOS OBTENIDOS --------------------
18:34:06.567 > ------------------ -------------------
18:34:06.567 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
18:34:06.567 > 1,2.2990391,0.6306189,0.00,23.2566051,0.0000246786
18:34:06.569 > 2,2.3004687,0.6306474,0.00,23.2734337,0.0000247072
18:34:06.572 > 3,2.3012881,0.6307372,0.00,23.2830029,0.0000247970
18:34:06.575 > 4,2.3019929,0.6306890,0.00,23.2913647,0.0000247488
18:34:06.577 > 5,2.3025050,0.6310997,0.00,23.2969723,0.0000251595
18:34:06.580 > 6,2.3031356,0.6311825,0.00,23.3043213,0.0000252423
18:34:06.583 > 7,2.3039935,0.6312475,0.00,23.3143692,0.0000253073
18:34:06.585 > 8,2.3044729,0.6312966,0.00,23.3199730,0.0000253564
18:34:06.588 > 9,2.3050992,0.6315904,0.00,23.3270512,0.0000256501
18:34:06.590 > 10,2.3056970,0.6315815,0.00,23.3341084,0.0000256413
18:34:06.593 > 11,2.3063147,0.6316502,0.00,23.3413219,0.0000257100
18:34:06.596 > 12,2.3069546,0.6317391,0.00,23.3487740,0.0000257989
