18:22:04.682 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
18:22:04.682 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
18:22:20.572 > DEBUG (obtain_Vbd) -> Ejecutandose
18:22:20.575 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:22:20.576 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.427227
18:22:20.576 > DEBUG (polarization_settling) → Channel 1
18:22:39.089 > DEBUG (obtain_Vbd) -> Ejecutandose
18:22:39.092 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:22:39.092 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.439188
18:22:39.096 > DEBUG (polarization_settling) → Channel 2
18:23:10.815 > -------------------- DATOS OBTENIDOS --------------------
18:23:10.815 > ------------------ -------------------
18:23:10.815 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
18:23:10.815 > 1,2.2980051,0.6304112,0.00,23.2446499,0.0000244499
18:23:10.818 > 2,2.2996051,0.6306399,0.00,23.2632790,0.0000246786
18:23:10.820 > 3,2.3003726,0.6306857,0.00,23.2722816,0.0000247245
18:23:10.823 > 4,2.3010206,0.6307405,0.00,23.2798672,0.0000247792
18:23:10.826 > 5,2.3015747,0.6308925,0.00,23.2862415,0.0000249313
18:23:10.829 > 6,2.3024671,0.6312129,0.00,23.2964287,0.0000252516
18:23:10.831 > 7,2.3029070,0.6311184,0.00,23.3017159,0.0000251572
18:23:10.834 > 8,2.3036206,0.6312742,0.00,23.3099670,0.0000253129
18:23:10.836 > 9,2.3042319,0.6315179,0.00,23.3169193,0.0000255566
18:23:10.839 > 10,2.3050046,0.6317709,0.00,23.3257675,0.0000258096
18:23:10.841 > 11,2.3056061,0.6315492,0.00,23.3330936,0.0000255879
18:23:10.844 > 12,2.3061576,0.6319131,0.00,23.3392143,0.0000259519
18:23:10.847 > 13,2.3066690,0.6319744,0.00,23.3451805,0.0000260131
18:23:10.850 > 14,2.3074744,0.6321278,0.00,23.3545170,0.0000261666
18:23:10.853 > 15,2.3080945,0.6321661,0.00,23.3617897,0.0000262049
18:23:10.855 > 16,2.3086796,0.6323345,0.00,23.3685112,0.0000263733
18:23:10.858 > 17,2.3091915,0.6325829,0.00,23.3742886,0.0000266216
18:23:10.861 > 18,2.3099210,0.6326774,0.00,23.3827934,0.0000267161
18:23:10.864 > 19,2.3105779,0.6327031,0.00,23.3905125,0.0000267419
18:23:10.866 > 20,2.3111680,0.6330385,0.00,23.3971195,0.0000270772
18:23:10.869 > 21,2.3116825,0.6331928,0.00,23.4030247,0.0000272316
18:23:10.871 > 22,2.3122804,0.6333683,0.00,23.4098911,0.0000274070
18:23:10.874 > 23,2.3129439,0.6333055,0.00,23.4177818,0.0000273443
18:23:10.876 > 24,2.3136077,0.6334524,0.00,23.4254551,0.0000274912
18:23:10.879 > 25,2.3141060,0.6337793,0.00,23.4309883,0.0000278181
18:23:10.882 > 26,2.3148744,0.6338089,0.00,23.4400196,0.0000278476
18:23:10.884 > 27,2.3155038,0.6338205,0.00,23.4474277,0.0000278593
18:23:10.887 > 28,2.3160689,0.6340151,0.00,23.4538879,0.0000280538
18:23:10.889 > 29,2.3165522,0.6343032,0.00,23.4592857,0.0000283419
18:23:10.892 > 30,2.3172777,0.6345123,0.00,23.4676228,0.0000285510
18:23:10.894 > 31,2.3179231,0.6344655,0.00,23.4752808,0.0000285043
18:23:10.896 > 32,2.3184235,0.6347073,0.00,23.4809284,0.0000287461
18:23:10.899 > 33,2.3190041,0.6350203,0.00,23.4874458,0.0000290590
18:23:10.901 > 34,2.3197434,0.6352111,0.00,23.4959660,0.0000292498
18:23:10.904 > 35,2.3203638,0.6351709,0.00,23.5033226,0.0000292096
18:23:10.906 > 36,2.3209465,0.6353407,0.00,23.5100174,0.0000293794
18:23:10.909 > 37,2.3213968,0.6356134,0.00,23.5150394,0.0000296521
18:23:10.912 > 38,2.3221602,0.6358243,0.00,23.5238228,0.0000298631
18:23:10.914 > 39,2.3229148,0.6358210,0.00,23.5327244,0.0000298598
18:23:10.917 > 40,2.3234675,0.6361522,0.00,23.5388947,0.0000301909
18:23:10.919 > 41,2.3239541,0.6364230,0.00,23.5443497,0.0000304617
18:23:10.922 > 42,2.3246365,0.6364744,0.00,23.5523396,0.0000305132
18:23:10.924 > 43,2.3252122,0.6366166,0.00,23.5589809,0.0000306554
18:23:10.928 > 44,2.3258064,0.6367925,0.00,23.5658035,0.0000308313
18:23:10.930 > 45,2.3263710,0.6371747,0.00,23.5720596,0.0000312134
18:23:10.933 > 46,2.3272157,0.6372724,0.00,23.5819187,0.0000313112
18:23:10.935 > 47,2.3277323,0.6372935,0.00,23.5879898,0.0000313322
18:23:10.938 > 48,2.3282783,0.6377163,0.00,23.5939846,0.0000317550
18:23:10.941 > 49,2.3287325,0.6380503,0.00,23.5989895,0.0000320890
18:23:10.943 > 50,2.3296268,0.6380779,0.00,23.6095085,0.0000321166
18:23:10.946 > 51,2.3301497,0.6381625,0.00,23.6155834,0.0000322012
18:23:10.948 > 52,2.3308144,0.6384624,0.00,23.6231079,0.0000325011
18:23:10.951 > 53,2.3313475,0.6387575,0.00,23.6290855,0.0000327962
18:23:10.953 > 54,2.3319499,0.6389623,0.00,23.6359749,0.0000330011
18:23:10.956 > 55,2.3325179,0.6389834,0.00,23.6426487,0.0000330221
18:23:10.958 > 56,2.3332448,0.6393506,0.00,23.6508369,0.0000333893
18:23:10.961 > 57,2.3336947,0.6396120,0.00,23.6558685,0.0000336508
18:23:10.963 > 58,2.3344378,0.6398749,0.00,23.6643543,0.0000339136
18:23:10.966 > 59,2.3350759,0.6398941,0.00,23.6718597,0.0000339328
18:23:10.968 > 60,2.3356335,0.6402009,0.00,23.6781139,0.0000342396
18:23:10.971 > 61,2.3360763,0.6405901,0.00,23.6829262,0.0000346288
18:23:10.973 > 62,2.3368416,0.6407416,0.00,23.6917915,0.0000347803
18:23:10.976 > 63,2.3375638,0.6408974,0.00,23.7001457,0.0000349361
18:23:10.979 > 64,2.3380947,0.6412547,0.00,23.7060318,0.0000352935
18:23:10.981 > 65,2.3386340,0.6414928,0.00,23.7121410,0.0000355315
18:23:10.984 > 66,2.3394361,0.6416513,0.00,23.7214336,0.0000356901
18:23:10.986 > 67,2.3399179,0.6418763,0.00,23.7268791,0.0000359151
18:23:10.989 > 68,2.3406742,0.6422318,0.00,23.7354240,0.0000362706
18:23:10.991 > 69,2.3410988,0.6426163,0.00,23.7400265,0.0000366550
18:23:10.994 > 70,2.3418782,0.6428843,0.00,23.7489376,0.0000369231
18:23:10.996 > 71,2.3424408,0.6429311,0.00,23.7555237,0.0000369698
18:23:10.999 > 72,2.3429496,0.6433904,0.00,23.7610416,0.0000374292
18:23:11.002 > 73,2.3435988,0.6436935,0.00,23.7683792,0.0000377322
18:23:11.004 > 74,2.3443043,0.6440040,0.00,23.7763729,0.0000380428
18:23:11.007 > 75,2.3449132,0.6440775,0.00,23.7834759,0.0000381162
18:23:11.009 > 76,2.3454549,0.6444830,0.00,23.7894402,0.0000385218
18:23:11.012 > 77,2.3460391,0.6449082,0.00,23.7958813,0.0000389469
18:23:11.015 > 78,2.3467762,0.6452047,0.00,23.8042622,0.0000392435
18:23:11.018 > 79,2.3472743,0.6453118,0.00,23.8100224,0.0000393506
18:23:11.020 > 80,2.3478348,0.6457052,0.00,23.8162212,0.0000397440
18:23:11.023 > 81,2.3483853,0.6462076,0.00,23.8221855,0.0000402463
18:23:11.025 > 82,2.3491855,0.6464990,0.00,23.8313160,0.0000405377
18:23:11.028 > 83,2.3497970,0.6465593,0.00,23.8384647,0.0000405980
18:23:11.032 > 84,2.3503203,0.6470537,0.00,23.8441162,0.0000410925
18:23:11.060 > 85,2.3509283,0.6474976,0.00,23.8508186,0.0000415363
18:23:11.060 > 86,2.3516674,0.6477805,0.00,23.8592377,0.0000418193
18:23:11.060 > 87,2.3522024,0.6480032,0.00,23.8653145,0.0000420420
18:23:11.060 > 88,2.3528686,0.6485261,0.00,23.8726196,0.0000425649
18:23:11.060 > 89,2.3533185,0.6489312,0.00,23.8775005,0.0000429699
18:23:11.060 > 90,2.3541028,0.6493367,0.00,23.8863258,0.0000433754
18:23:11.060 > 91,2.3546474,0.6494696,0.00,23.8926086,0.0000435083
18:23:11.060 > 92,2.3552353,0.6500617,0.00,23.8989201,0.0000441005
18:23:11.060 > 93,2.3557956,0.6505210,0.00,23.9050446,0.0000445598
18:23:11.060 > 94,2.3565135,0.6509013,0.00,23.9131088,0.0000449401
18:23:11.060 > 95,2.3571577,0.6510743,0.00,23.9205246,0.0000451131
18:23:11.076 > 96,2.3578367,0.6516712,0.00,23.9279079,0.0000457099
18:23:11.076 > 97,2.3582199,0.6522095,0.00,23.9318581,0.0000462483
18:23:11.076 > 98,2.3590100,0.6525196,0.00,23.9408531,0.0000465584
18:23:11.076 > 99,2.3596001,0.6527779,0.00,23.9475384,0.0000468166
18:23:11.076 > 100,2.3600726,0.6534995,0.00,23.9523544,0.0000475383
18:23:11.076 > 101,2.3607461,0.6540314,0.00,23.9597378,0.0000480701
18:23:11.094 > 102,2.3614056,0.6544434,0.00,23.9670811,0.0000484822
18:23:11.094 > 103,2.3620694,0.6547489,0.00,23.9745884,0.0000487876
18:23:11.094 > 104,2.3626521,0.6553017,0.00,23.9808807,0.0000493405
18:23:11.094 > 105,2.3632419,0.6558995,0.00,23.9872093,0.0000499383
18:23:11.094 > 106,2.3639474,0.6563710,0.00,23.9950333,0.0000504097
18:23:11.094 > 107,2.3645375,0.6567311,0.00,24.0016136,0.0000507699
18:23:11.094 > 108,2.3652065,0.6573663,0.00,24.0088348,0.0000514051
18:23:11.121 > 109,2.3657036,0.6580249,0.00,24.0140076,0.0000520636
18:23:11.121 > 110,2.3663707,0.6585909,0.00,24.0212784,0.0000526296
18:23:11.121 > 111,2.3668721,0.6588771,0.00,24.0268917,0.0000529159
18:23:11.121 > 112,2.3676741,0.6596171,0.00,24.0355721,0.0000536558
18:23:11.121 > 113,2.3680573,0.6602649,0.00,24.0394115,0.0000543036
18:23:11.121 > 114,2.3689399,0.6609052,0.00,24.0491467,0.0000549440
18:23:11.121 > 115,2.3694272,0.6611737,0.00,24.0546112,0.0000552124
18:23:11.121 > 116,2.3699129,0.6622382,0.00,24.0592213,0.0000562770
18:23:11.121 > 117,2.3705869,0.6628421,0.00,24.0665359,0.0000568808
18:23:11.121 > 118,2.3711808,0.6636130,0.00,24.0727310,0.0000576517
18:23:11.121 > 119,2.3719170,0.6636690,0.00,24.0813541,0.0000577078
18:23:11.141 > 120,2.3724208,0.6646705,0.00,24.0862427,0.0000587092
18:23:11.141 > 121,2.3730373,0.6655508,0.00,24.0925903,0.0000595895
18:23:11.141 > 122,2.3736789,0.6662547,0.00,24.0994148,0.0000602934
18:23:11.141 > 123,2.3742979,0.6665255,0.00,24.1064301,0.0000605643
18:23:11.141 > 124,2.3749139,0.6676972,0.00,24.1124649,0.0000617359
18:23:11.141 > 125,2.3754938,0.6685709,0.00,24.1183853,0.0000626097
18:23:11.141 > 126,2.3761060,0.6693100,0.00,24.1248302,0.0000633487
18:23:11.142 > 127,2.3767745,0.6696163,0.00,24.1323929,0.0000636551
18:23:11.145 > 128,2.3772576,0.6708432,0.00,24.1368008,0.0000648819
18:23:11.147 > 129,2.3778605,0.6719574,0.00,24.1427422,0.0000659961
18:23:11.150 > 130,2.3786411,0.6726061,0.00,24.1512661,0.0000666448
18:23:11.152 > 131,2.3792391,0.6730453,0.00,24.1578560,0.0000670840
18:23:11.155 > 132,2.3797946,0.6743742,0.00,24.1630116,0.0000684129
18:23:11.158 > 133,2.3800683,0.6754785,0.00,24.1650810,0.0000695172
18:23:11.160 > 134,2.3810823,0.6764556,0.00,24.1760120,0.0000704943
18:23:11.176 > 135,2.3815355,0.6770393,0.00,24.1807423,0.0000710780
18:23:11.176 > 136,2.3821414,0.6781548,0.00,24.1867161,0.0000721936
18:23:11.176 > 137,2.3827007,0.6793607,0.00,24.1920452,0.0000733994
18:23:11.176 > 138,2.3835163,0.6806694,0.00,24.2002907,0.0000747081
18:23:11.176 > 139,2.3841076,0.6811250,0.00,24.2067852,0.0000751637
18:23:11.176 > 140,2.3845947,0.6824987,0.00,24.2110863,0.0000765374
18:23:11.185 > 141,2.3851185,0.6837246,0.00,24.2159767,0.0000777634
18:23:11.185 > 142,2.3858776,0.6848734,0.00,24.2237225,0.0000789121
18:23:11.185 > 143,2.3864233,0.6856956,0.00,24.2292957,0.0000797344
18:23:11.187 > 144,2.3871334,0.6872879,0.00,24.2359962,0.0000813266
18:23:11.188 > 145,2.3876357,0.6886452,0.00,24.2404938,0.0000826839
18:23:11.191 > 146,2.3882120,0.6899446,0.00,24.2459259,0.0000839833
18:23:11.194 > 147,2.3889623,0.6906677,0.00,24.2540150,0.0000847064
18:23:11.197 > 148,2.3894744,0.6924456,0.00,24.2581882,0.0000864843
18:23:11.199 > 149,2.3899679,0.6941776,0.00,24.2621899,0.0000882163
18:23:11.201 > 150,2.3907056,0.6955686,0.00,24.2694283,0.0000896074
18:23:11.204 > 151,2.3913028,0.6965224,0.00,24.2754688,0.0000905611
18:23:11.207 > 152,2.3918445,0.6984186,0.00,24.2798653,0.0000924573
