15:31:29.242 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
15:31:29.242 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
15:31:45.125 > DEBUG (obtain_Vbd) -> Ejecutandose
15:31:45.128 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:31:45.129 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.441544
15:31:45.129 > DEBUG (polarization_settling) → Channel 1
15:32:03.613 > DEBUG (obtain_Vbd) -> Ejecutandose
15:32:03.617 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:32:03.617 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.436493
15:32:03.619 > DEBUG (polarization_settling) → Channel 2
15:32:35.767 > -------------------- DATOS OBTENIDOS --------------------
15:32:35.768 > ------------------ -------------------
15:32:35.768 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
15:32:35.768 > 1,2.3040767,0.6313443,0.00,23.3154621,0.0000252030
15:32:35.771 > 2,2.3053677,0.6313860,0.00,23.3306427,0.0000252447
15:32:35.773 > 3,2.3061094,0.6315291,0.00,23.3392391,0.0000253878
15:32:35.776 > 4,2.3068583,0.6316142,0.00,23.3479805,0.0000254729
15:32:35.778 > 5,2.3074739,0.6317704,0.00,23.3550758,0.0000256291
15:32:35.781 > 6,2.3082063,0.6319935,0.00,23.3634777,0.0000258522
15:32:35.785 > 7,2.3087752,0.6320679,0.00,23.3701096,0.0000259266
15:32:35.786 > 8,2.3095145,0.6321479,0.00,23.3787441,0.0000260066
15:32:35.789 > 9,2.3100750,0.6324131,0.00,23.3850746,0.0000262718
15:32:35.791 > 10,2.3107593,0.6324580,0.00,23.3930988,0.0000263167
15:32:35.794 > 11,2.3113761,0.6327190,0.00,23.4000969,0.0000265777
15:32:35.798 > 12,2.3119645,0.6326900,0.00,23.4070663,0.0000265487
15:32:35.800 > 13,2.3125262,0.6328509,0.00,23.4135208,0.0000267096
15:32:35.802 > 14,2.3131273,0.6330740,0.00,23.4203758,0.0000269327
15:32:35.805 > 15,2.3138387,0.6331517,0.00,23.4286842,0.0000270103
15:32:35.808 > 16,2.3143561,0.6333659,0.00,23.4345608,0.0000272245
15:32:35.810 > 17,2.3151054,0.6334636,0.00,23.4432945,0.0000273223
15:32:35.813 > 18,2.3156855,0.6335782,0.00,23.4500160,0.0000274369
15:32:35.816 > 19,2.3163247,0.6337785,0.00,23.4573441,0.0000276371
15:32:35.818 > 20,2.3168750,0.6338219,0.00,23.4637871,0.0000276806
15:32:35.820 > 21,2.3175471,0.6340343,0.00,23.4714890,0.0000278929
15:32:35.823 > 22,2.3181078,0.6340240,0.00,23.4781132,0.0000278826
15:32:35.825 > 23,2.3187201,0.6343794,0.00,23.4849606,0.0000282381
15:32:35.828 > 24,2.3193426,0.6344903,0.00,23.4921856,0.0000283490
15:32:35.831 > 25,2.3200073,0.6345609,0.00,23.4999485,0.0000284196
15:32:35.834 > 26,2.3205757,0.6347125,0.00,23.5064926,0.0000285712
15:32:35.836 > 27,2.3211219,0.6348346,0.00,23.5128059,0.0000286933
15:32:35.838 > 28,2.3217862,0.6350114,0.00,23.5204544,0.0000288700
15:32:35.840 > 29,2.3223665,0.6352214,0.00,23.5270767,0.0000290801
15:32:35.843 > 30,2.3230395,0.6353500,0.00,23.5348797,0.0000292087
15:32:35.846 > 31,2.3236022,0.6355020,0.00,23.5413551,0.0000293607
15:32:35.849 > 32,2.3242571,0.6356872,0.00,23.5488834,0.0000295459
15:32:35.851 > 33,2.3247895,0.6358370,0.00,23.5550041,0.0000296956
15:32:35.854 > 34,2.3254261,0.6360890,0.00,23.5622482,0.0000299477
15:32:35.856 > 35,2.3260331,0.6361985,0.00,23.5692902,0.0000300572
15:32:35.859 > 36,2.3266609,0.6364249,0.00,23.5764561,0.0000302836
15:32:35.861 > 37,2.3273928,0.6365577,0.00,23.5849476,0.0000304164
15:32:35.864 > 38,2.3279514,0.6366480,0.00,23.5914402,0.0000305067
15:32:35.866 > 39,2.3286095,0.6369848,0.00,23.5988483,0.0000308434
15:32:35.869 > 40,2.3291163,0.6370876,0.00,23.6047173,0.0000309463
15:32:35.872 > 41,2.3297436,0.6372677,0.00,23.6119251,0.0000311264
15:32:35.874 > 42,2.3304753,0.6375563,0.00,23.6202507,0.0000314150
15:32:35.877 > 43,2.3309910,0.6376358,0.00,23.6262474,0.0000314945
15:32:35.879 > 44,2.3316154,0.6378763,0.00,23.6333599,0.0000317349
15:32:35.882 > 45,2.3321993,0.6379427,0.00,23.6401749,0.0000318013
15:32:35.885 > 46,2.3328540,0.6382617,0.00,23.6475620,0.0000321203
15:32:35.888 > 47,2.3333795,0.6383880,0.00,23.6536255,0.0000322466
15:32:35.890 > 48,2.3340440,0.6387051,0.00,23.6611290,0.0000325637
15:32:35.893 > 49,2.3347354,0.6387987,0.00,23.6691837,0.0000326573
15:32:35.896 > 50,2.3352461,0.6389797,0.00,23.6750145,0.0000328383
15:32:35.898 > 51,2.3359809,0.6392069,0.00,23.6834431,0.0000330656
15:32:35.901 > 52,2.3365021,0.6394755,0.00,23.6893063,0.0000333341
15:32:35.903 > 53,2.3371634,0.6396658,0.00,23.6969070,0.0000335245
15:32:35.906 > 54,2.3376961,0.6398029,0.00,23.7030430,0.0000336615
15:32:35.909 > 55,2.3384006,0.6401420,0.00,23.7109966,0.0000340006
15:32:35.911 > 56,2.3389707,0.6403852,0.00,23.7174644,0.0000342439
15:32:35.914 > 57,2.3395896,0.6405204,0.00,23.7246189,0.0000343791
15:32:35.916 > 58,2.3402369,0.6408445,0.00,23.7319145,0.0000347032
15:32:35.919 > 59,2.3408065,0.6411415,0.00,23.7383175,0.0000350002
15:32:35.921 > 60,2.3413205,0.6412496,0.00,23.7442665,0.0000351083
15:32:35.924 > 61,2.3421018,0.6413974,0.00,23.7533245,0.0000352560
15:32:35.926 > 62,2.3426261,0.6417000,0.00,23.7591896,0.0000355587
15:32:35.930 > 63,2.3431537,0.6419287,0.00,23.7651730,0.0000357874
15:32:35.932 > 64,2.3439031,0.6423286,0.00,23.7735901,0.0000361873
15:32:35.935 > 65,2.3445284,0.6425485,0.00,23.7807331,0.0000364072
15:32:35.937 > 66,2.3451500,0.6427402,0.00,23.7878609,0.0000365989
15:32:35.940 > 67,2.3456943,0.6430826,0.00,23.7939224,0.0000369413
15:32:35.942 > 68,2.3462822,0.6432964,0.00,23.8006306,0.0000371550
15:32:35.945 > 69,2.3468938,0.6436126,0.00,23.8075104,0.0000374712
15:32:35.948 > 70,2.3474746,0.6439204,0.00,23.8140373,0.0000377790
15:32:35.950 > 71,2.3481340,0.6441079,0.00,23.8216152,0.0000379666
15:32:35.953 > 72,2.3487544,0.6444199,0.00,23.8286057,0.0000382786
15:32:35.955 > 73,2.3493507,0.6444994,0.00,23.8355522,0.0000383581
15:32:35.958 > 74,2.3499799,0.6449938,0.00,23.8424530,0.0000388525
15:32:35.960 > 75,2.3506799,0.6453021,0.00,23.8503838,0.0000391607
15:32:35.964 > 76,2.3512740,0.6456318,0.00,23.8570442,0.0000394905
15:32:35.966 > 77,2.3517320,0.6459667,0.00,23.8620930,0.0000398254
15:32:35.969 > 78,2.3524275,0.6462516,0.00,23.8699951,0.0000401102
15:32:35.971 > 79,2.3530865,0.6465205,0.00,23.8774853,0.0000403792
15:32:35.973 > 80,2.3537123,0.6468404,0.00,23.8845291,0.0000406991
15:32:35.976 > 81,2.3543203,0.6472422,0.00,23.8912773,0.0000411009
15:32:35.980 > 82,2.3549790,0.6476313,0.00,23.8986378,0.0000414900
15:32:35.982 > 83,2.3555057,0.6478292,0.00,23.9046402,0.0000416879
15:32:35.984 > 84,2.3562067,0.6482277,0.00,23.9124870,0.0000420864
15:32:35.986 > 85,2.3566315,0.6485097,0.00,23.9172020,0.0000423684
15:32:35.989 > 86,2.3573449,0.6488241,0.00,23.9252853,0.0000426828
15:32:35.991 > 87,2.3580205,0.6491926,0.00,23.9328651,0.0000430513
15:32:35.994 > 88,2.3585899,0.6495949,0.00,23.9391575,0.0000434536
15:32:35.997 > 89,2.3592317,0.6499060,0.00,23.9463978,0.0000437647
15:32:35.999 > 90,2.3599253,0.6504247,0.00,23.9540348,0.0000442833
15:32:36.002 > 91,2.3604548,0.6507072,0.00,23.9599819,0.0000445659
15:32:36.005 > 92,2.3610342,0.6510346,0.00,23.9664707,0.0000448933
15:32:36.007 > 93,2.3617673,0.6515931,0.00,23.9745293,0.0000454518
15:32:36.010 > 94,2.3623106,0.6519093,0.00,23.9806061,0.0000457680
15:32:36.012 > 95,2.3628922,0.6522680,0.00,23.9870853,0.0000461267
15:32:36.015 > 96,2.3634846,0.6527797,0.00,23.9935341,0.0000466384
15:32:36.018 > 97,2.3641069,0.6531684,0.00,24.0004654,0.0000470270
15:32:36.020 > 98,2.3646731,0.6536539,0.00,24.0066338,0.0000475126
15:32:36.022 > 99,2.3652868,0.6542011,0.00,24.0132961,0.0000480598
15:32:36.025 > 100,2.3658898,0.6546189,0.00,24.0199680,0.0000484775
15:32:36.028 > 101,2.3665793,0.6550019,0.00,24.0276966,0.0000488606
15:32:36.031 > 102,2.3672698,0.6555398,0.00,24.0352745,0.0000493985
15:32:36.033 > 103,2.3677216,0.6560497,0.00,24.0400658,0.0000499083
