12:10:07.294 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
12:10:07.294 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
12:10:07.294 > readBuffer: address = FFF00B count = 1
12:10:07.295 > DEBUG (get_OPstate) -> Dirección: 0xFFF00B Estado leído: 0x1
12:10:23.174 > DEBUG (obtain_Vbd) -> Ejecutandose
12:10:23.174 > DEBUG (obtain_Vbd) -> logaritmo calculado
12:10:23.174 > DEBUG (obtain_Vbd) -> Vbd obtenido: 3.920768
12:10:50.370 > DEBUG (obtain_Vbd) -> Ejecutandose
12:10:50.370 > DEBUG (obtain_Vbd) -> logaritmo calculado
12:10:50.370 > DEBUG (obtain_Vbd) -> Vbd obtenido: 3.276362
12:10:50.387 > DEBUG (polarization_settling) → Channel 2
12:10:54.849 > -------------------- DATOS OBTENIDOS --------------------
12:10:54.849 > ------------------ -------------------
12:10:54.849 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
12:10:54.849 > 1,3.9207678,2.1952097,0.00,44.2219849,-0.0017284403
12:10:54.852 > 2,3.9207809,2.1951230,0.00,44.2222328,-0.0017285270
12:10:54.855 > 3,3.9207542,2.1942050,0.00,44.2228813,-0.0017294449
12:10:54.858 > 4,3.9207361,2.1938136,0.00,44.2230797,-0.0017298365
12:10:54.860 > 5,3.9206855,2.1928833,0.00,44.2234612,-0.0017307667
12:10:54.863 > 6,3.9207020,2.1927562,0.00,44.2237892,-0.0017308939
12:10:54.865 > 7,3.9207542,2.1917715,0.00,44.2254372,-0.0017318785
12:10:54.868 > 8,3.9207473,2.1908047,0.00,44.2263718,-0.0017328453
12:10:54.870 > 9,3.9207776,2.1907094,0.00,44.2268295,-0.0017329407
12:10:54.873 > 10,3.9208245,2.1899898,0.00,44.2281380,-0.0017336602
12:10:54.875 > 11,3.9207389,2.1896129,0.00,44.2275238,-0.0017340372
12:10:54.878 > 12,3.9207160,2.1891484,0.00,44.2277412,-0.0017345016
12:10:54.881 > 13,3.9207754,2.1885536,0.00,44.2290649,-0.0017350964
12:10:54.883 > 14,3.9207532,2.1879554,0.00,44.2294312,-0.0017356946
12:10:54.886 > 15,3.9207211,2.1873627,0.00,44.2296753,-0.0017362874
12:10:54.888 > 16,3.9207439,2.1869636,0.00,44.2303658,-0.0017366864
12:10:54.892 > 17,3.9206948,2.1868272,0.00,44.2299309,-0.0017368229
12:10:54.893 > 18,3.9207366,2.1856601,0.00,44.2316475,-0.0017379900
12:10:54.896 > 19,3.9207098,2.1853683,0.00,44.2316360,-0.0017382817
12:10:54.899 > 20,3.9207041,2.1849177,0.00,44.2320442,-0.0017387323
12:10:54.901 > 21,3.9207642,2.1843262,0.00,44.2333717,-0.0017393238
12:10:54.904 > 22,3.9208534,2.1836007,0.00,44.2351875,-0.0017400493
12:10:54.907 > 23,3.9207613,2.1831932,0.00,44.2345276,-0.0017404568
12:10:54.908 > 24,3.9207079,2.1825764,0.00,44.2345467,-0.0017410736
12:10:54.913 > 25,3.9207487,2.1823640,0.00,44.2352486,-0.0017412860
12:10:54.915 > 26,3.9208751,2.1816545,0.00,44.2374840,-0.0017419956
12:10:54.918 > 27,3.9208038,2.1812644,0.00,44.2370567,-0.0017423857
12:10:54.921 > 28,3.9208076,2.1806390,0.00,44.2377548,-0.0017430109
12:10:54.923 > 29,3.9208493,2.1799271,0.00,44.2389946,-0.0017437229
12:10:54.925 > 30,3.9207921,2.1795707,0.00,44.2386932,-0.0017440794
12:10:54.929 > 31,3.9208376,2.1790099,0.00,44.2398186,-0.0017446401
12:10:54.931 > 32,3.9208479,2.1786439,0.00,44.2403259,-0.0017450061
12:10:54.933 > 33,3.9207089,2.1781669,0.00,44.2391853,-0.0017454831
12:10:54.936 > 34,3.9207337,2.1776128,0.00,44.2400627,-0.0017460373
12:10:54.939 > 35,3.9207978,2.1770406,0.00,44.2414169,-0.0017466095
12:10:54.940 > 36,3.9208012,2.1766160,0.00,44.2419014,-0.0017470340
12:10:54.944 > 37,3.9208128,2.1759362,0.00,44.2427559,-0.0017477138
12:10:54.947 > 38,3.9207642,2.1753414,0.00,44.2428055,-0.0017483087
12:10:54.949 > 39,3.9208090,2.1751838,0.00,44.2434998,-0.0017484663
12:10:54.952 > 40,3.9207356,2.1745214,0.00,44.2433319,-0.0017491286
12:10:54.954 > 41,3.9207370,2.1740017,0.00,44.2438927,-0.0017496484
12:10:54.957 > 42,3.9207754,2.1736579,0.00,44.2447052,-0.0017499921
12:10:54.960 > 43,3.9207542,2.1730795,0.00,44.2450638,-0.0017505705
12:10:54.963 > 44,3.9207454,2.1723456,0.00,44.2457314,-0.0017513044
12:10:54.965 > 45,3.9206908,2.1720181,0.00,44.2454300,-0.0017516320
12:10:54.968 > 46,3.9207501,2.1715901,0.00,44.2465820,-0.0017520599
12:10:54.971 > 47,3.9207969,2.1708961,0.00,44.2478600,-0.0017527540
12:10:54.974 > 48,3.9207289,2.1704330,0.00,44.2475433,-0.0017532170
12:10:54.977 > 49,3.9207327,2.1700957,0.00,44.2479439,-0.0017535543
12:10:54.979 > 50,3.9208047,2.1695077,0.00,44.2494125,-0.0017541422
12:10:54.981 > 51,3.9207497,2.1690629,0.00,44.2492256,-0.0017545872
12:10:54.983 > 52,3.9207406,2.1681602,0.00,44.2500687,-0.0017554899
12:10:54.985 > 53,3.9206808,2.1682220,0.00,44.2492981,-0.0017554280
12:10:54.989 > 54,3.9208043,2.1671813,0.00,44.2518463,-0.0017564688
12:10:54.992 > 55,3.9207172,2.1668220,0.00,44.2511978,-0.0017568280
12:10:54.994 > 56,3.9208212,2.1663566,0.00,44.2529106,-0.0017572935
12:10:54.997 > 57,3.9207029,2.1659563,0.00,44.2519379,-0.0017576937
12:10:54.999 > 58,3.9207351,2.1657846,0.00,44.2524986,-0.0017578654
12:10:55.001 > 59,3.9207847,2.1648431,0.00,44.2540741,-0.0017588070
12:10:55.005 > 60,3.9207089,2.1646078,0.00,44.2534256,-0.0017590423
12:10:55.008 > 61,3.9207768,2.1639342,0.00,44.2549324,-0.0017597158
12:10:55.009 > 62,3.9207244,2.1633604,0.00,44.2549171,-0.0017602897
12:10:55.013 > 63,3.9207273,2.1628323,0.00,44.2555046,-0.0017608177
12:10:55.015 > 64,3.9208155,2.1621461,0.00,44.2572670,-0.0017615040
12:10:55.017 > 65,3.9207215,2.1621208,0.00,44.2561836,-0.0017615292
12:10:55.021 > 66,3.9207566,2.1616273,0.00,44.2571182,-0.0017620227
12:10:55.023 > 67,3.9207439,2.1609483,0.00,44.2576828,-0.0017627018
12:10:55.024 > 68,3.9207284,2.1605933,0.00,44.2578735,-0.0017630567
12:10:55.029 > 69,3.9207289,2.1605000,0.00,44.2579727,-0.0017631500
12:10:55.031 > 70,3.9207501,2.1596975,0.00,44.2590675,-0.0017639525
12:10:55.033 > 71,3.9207993,2.1590095,0.00,44.2603683,-0.0017646406
12:10:55.036 > 72,3.9207618,2.1586740,0.00,44.2602806,-0.0017649761
12:10:55.039 > 73,3.9206822,2.1583047,0.00,44.2597275,-0.0017653453
12:10:55.041 > 74,3.9206467,2.1574528,0.00,44.2602043,-0.0017661972
12:10:55.045 > 75,3.9208221,2.1574359,0.00,44.2622910,-0.0017662141
12:10:55.047 > 76,3.9207659,2.1568484,0.00,44.2622414,-0.0017668016
12:10:55.050 > 77,3.9207511,2.1561601,0.00,44.2627945,-0.0017674899
12:10:55.053 > 78,3.9207768,2.1556988,0.00,44.2635803,-0.0017679513
12:10:55.055 > 79,3.9207366,2.1548691,0.00,44.2639771,-0.0017687810
12:10:55.057 > 80,3.9207098,2.1547625,0.00,44.2637711,-0.0017688875
12:10:55.060 > 81,3.9207103,2.1543715,0.00,44.2641907,-0.0017692785
12:10:55.062 > 82,3.9207745,2.1540949,0.00,44.2652359,-0.0017695550
12:10:55.065 > 83,3.9207609,2.1537507,0.00,44.2654381,-0.0017698994
