15:04:44.020 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
15:04:44.020 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
15:04:59.905 > DEBUG (obtain_Vbd) -> Ejecutandose
15:04:59.909 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:04:59.909 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.434329
15:04:59.909 > DEBUG (polarization_settling) → Channel 1
15:05:18.399 > DEBUG (obtain_Vbd) -> Ejecutandose
15:05:18.401 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:05:18.402 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.438923
15:05:18.404 > DEBUG (polarization_settling) → Channel 2
15:05:50.620 > -------------------- DATOS OBTENIDOS --------------------
15:05:50.620 > ------------------ -------------------
15:05:50.621 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
15:05:50.621 > 1,2.3016341,0.6311661,0.00,23.2867985,0.0000250683
15:05:50.622 > 2,2.3030560,0.6312050,0.00,23.3035240,0.0000251071
15:05:50.625 > 3,2.3036764,0.6313359,0.00,23.3107033,0.0000252381
15:05:50.628 > 4,2.3043849,0.6315020,0.00,23.3188858,0.0000254042
15:05:50.630 > 5,2.3051319,0.6316040,0.00,23.3275871,0.0000255061
15:05:50.633 > 6,2.3057637,0.6317896,0.00,23.3348427,0.0000256918
15:05:50.635 > 7,2.3063335,0.6318312,0.00,23.3415184,0.0000257334
15:05:50.638 > 8,2.3069916,0.6320038,0.00,23.3490982,0.0000259060
15:05:50.640 > 9,2.3077326,0.6320146,0.00,23.3578243,0.0000259168
15:05:50.644 > 10,2.3083565,0.6322325,0.00,23.3649540,0.0000261347
15:05:50.646 > 11,2.3089318,0.6324543,0.00,23.3715057,0.0000263565
15:05:50.649 > 12,2.3095315,0.6324940,0.00,23.3785343,0.0000263962
15:05:50.651 > 13,2.3101618,0.6326662,0.00,23.3857880,0.0000265684
15:05:50.654 > 14,2.3108346,0.6328140,0.00,23.3935680,0.0000267162
15:05:50.657 > 15,2.3114328,0.6329609,0.00,23.4004669,0.0000268630
15:05:50.659 > 16,2.3120759,0.6331250,0.00,23.4078770,0.0000270272
15:05:50.662 > 17,2.3126690,0.6331900,0.00,23.4148045,0.0000270922
15:05:50.665 > 18,2.3132789,0.6333785,0.00,23.4217987,0.0000272807
15:05:50.667 > 19,2.3139577,0.6335263,0.00,23.4296494,0.0000274285
15:05:50.670 > 20,2.3146195,0.6335871,0.00,23.4373894,0.0000274893
15:05:50.672 > 21,2.3150890,0.6338009,0.00,23.4426994,0.0000277030
15:05:50.675 > 22,2.3156419,0.6339842,0.00,23.4490280,0.0000278864
15:05:50.677 > 23,2.3163693,0.6340675,0.00,23.4575195,0.0000279697
15:05:50.680 > 24,2.3169534,0.6342766,0.00,23.4641895,0.0000281788
15:05:50.683 > 25,2.3176172,0.6344225,0.00,23.4718628,0.0000283247
15:05:50.685 > 26,2.3181963,0.6345834,0.00,23.4785233,0.0000284856
15:05:50.688 > 27,2.3187809,0.6346185,0.00,23.4853802,0.0000285206
15:05:50.691 > 28,2.3195570,0.6348500,0.00,23.4942894,0.0000287522
15:05:50.693 > 29,2.3201547,0.6350273,0.00,23.5011501,0.0000289295
15:05:50.697 > 30,2.3206260,0.6352246,0.00,23.5065041,0.0000291268
15:05:50.699 > 31,2.3212411,0.6352929,0.00,23.5136852,0.0000291951
15:05:50.702 > 32,2.3219180,0.6355549,0.00,23.5213928,0.0000294571
15:05:50.704 > 33,2.3225238,0.6356316,0.00,23.5284557,0.0000295338
15:05:50.707 > 34,2.3231664,0.6358243,0.00,23.5358295,0.0000297265
15:05:50.710 > 35,2.3237772,0.6359866,0.00,23.5428638,0.0000298888
15:05:50.712 > 36,2.3243768,0.6362308,0.00,23.5496788,0.0000301329
15:05:50.715 > 37,2.3250046,0.6363884,0.00,23.5569153,0.0000302906
15:05:50.717 > 38,2.3256655,0.6365451,0.00,23.5645466,0.0000304472
15:05:50.719 > 39,2.3262277,0.6365975,0.00,23.5711212,0.0000304996
15:05:50.722 > 40,2.3267922,0.6368407,0.00,23.5775223,0.0000307429
15:05:50.725 > 41,2.3274603,0.6371326,0.00,23.5850945,0.0000310348
15:05:50.727 > 42,2.3279612,0.6371920,0.00,23.5909405,0.0000310941
15:05:50.730 > 43,2.3286483,0.6374623,0.00,23.5987587,0.0000313645
15:05:50.732 > 44,2.3292558,0.6376026,0.00,23.6057758,0.0000315048
15:05:50.735 > 45,2.3298535,0.6377944,0.00,23.6126213,0.0000316966
15:05:50.738 > 46,2.3304901,0.6379553,0.00,23.6199589,0.0000318575
15:05:50.740 > 47,2.3310785,0.6381531,0.00,23.6266899,0.0000320553
15:05:50.743 > 48,2.3316765,0.6385012,0.00,23.6333771,0.0000324033
15:05:50.745 > 49,2.3322601,0.6385891,0.00,23.6401672,0.0000324913
15:05:50.748 > 50,2.3328509,0.6387734,0.00,23.6469421,0.0000326756
15:05:50.751 > 51,2.3335931,0.6389979,0.00,23.6554585,0.0000329001
15:05:50.753 > 52,2.3341660,0.6392561,0.00,23.6619434,0.0000331582
15:05:50.756 > 53,2.3349514,0.6393599,0.00,23.6710949,0.0000332621
15:05:50.758 > 54,2.3354080,0.6396181,0.00,23.6762085,0.0000335203
15:05:50.761 > 55,2.3360534,0.6397318,0.00,23.6837006,0.0000336339
15:05:50.764 > 56,2.3365235,0.6399413,0.00,23.6890259,0.0000338435
15:05:50.766 > 57,2.3373692,0.6402514,0.00,23.6986713,0.0000341536
15:05:50.769 > 58,2.3378389,0.6406256,0.00,23.7038174,0.0000345278
15:05:50.772 > 59,2.3384085,0.6407973,0.00,23.7103558,0.0000346994
15:05:50.774 > 60,2.3390396,0.6410096,0.00,23.7175751,0.0000349118
15:05:50.777 > 61,2.3397064,0.6413679,0.00,23.7250633,0.0000352701
15:05:50.779 > 62,2.3403118,0.6414923,0.00,23.7320690,0.0000353945
15:05:50.782 > 63,2.3407767,0.6417884,0.00,23.7372417,0.0000356906
15:05:50.784 > 64,2.3415675,0.6419264,0.00,23.7464237,0.0000358286
15:05:50.787 > 65,2.3420858,0.6422332,0.00,23.7522125,0.0000361354
