20:16:25.344 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
20:16:25.344 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
20:16:41.228 > DEBUG (obtain_Vbd) -> Ejecutandose
20:16:41.232 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:16:41.232 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.436117
20:16:41.233 > DEBUG (polarization_settling) → Channel 1
20:16:59.717 > DEBUG (obtain_Vbd) -> Ejecutandose
20:16:59.721 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:16:59.721 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.441261
20:16:59.723 > DEBUG (polarization_settling) → Channel 2
20:17:31.969 > -------------------- DATOS OBTENIDOS --------------------
20:17:31.969 > ------------------ -------------------
20:17:31.969 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
20:17:31.969 > 1,2.3027437,0.6319744,0.00,23.2990170,0.0000258934
20:17:31.972 > 2,2.3041816,0.6321287,0.00,23.3158112,0.0000260477
20:17:31.975 > 3,2.3049676,0.6322592,0.00,23.3249435,0.0000261782
20:17:31.977 > 4,2.3055594,0.6325029,0.00,23.3316669,0.0000264219
20:17:31.979 > 5,2.3062787,0.6325216,0.00,23.3401279,0.0000264406
20:17:31.982 > 6,2.3068762,0.6327022,0.00,23.3469849,0.0000266212
20:17:31.985 > 7,2.3076174,0.6328037,0.00,23.3556194,0.0000267227
20:17:31.988 > 8,2.3082063,0.6329800,0.00,23.3623791,0.0000268990
20:17:31.991 > 9,2.3089473,0.6330529,0.00,23.3710423,0.0000269719
20:17:31.992 > 10,2.3095441,0.6332055,0.00,23.3779182,0.0000271245
20:17:31.995 > 11,2.3101511,0.6333504,0.00,23.3849258,0.0000272694
20:17:31.998 > 12,2.3106418,0.6334248,0.00,23.3906326,0.0000273438
20:17:32.000 > 13,2.3113580,0.6337541,0.00,23.3987331,0.0000276731
20:17:32.004 > 14,2.3119581,0.6336732,0.00,23.4058952,0.0000275922
20:17:32.006 > 15,2.3125315,0.6338930,0.00,23.4124260,0.0000278120
20:17:32.009 > 16,2.3131812,0.6340988,0.00,23.4198723,0.0000280178
20:17:32.011 > 17,2.3138130,0.6341704,0.00,23.4272480,0.0000280894
20:17:32.014 > 18,2.3145311,0.6343991,0.00,23.4354763,0.0000283181
20:17:32.017 > 19,2.3150315,0.6344773,0.00,23.4412956,0.0000283962
20:17:32.020 > 20,2.3157027,0.6345867,0.00,23.4490967,0.0000285057
20:17:32.022 > 21,2.3162243,0.6347733,0.00,23.4550514,0.0000286923
20:17:32.024 > 22,2.3169043,0.6348963,0.00,23.4629402,0.0000288153
20:17:32.027 > 23,2.3175025,0.6351185,0.00,23.4697628,0.0000290375
20:17:32.029 > 24,2.3182313,0.6351751,0.00,23.4782982,0.0000290941
20:17:32.032 > 25,2.3188028,0.6354239,0.00,23.4847755,0.0000293429
20:17:32.034 > 26,2.3194344,0.6355727,0.00,23.4920673,0.0000294917
20:17:32.037 > 27,2.3200293,0.6357672,0.00,23.4988785,0.0000296862
20:17:32.037 > 28,2.3206410,0.6359590,0.00,23.5058918,0.0000298780
20:17:32.037 > 29,2.3211842,0.6360156,0.00,23.5122375,0.0000299346
20:17:32.037 > 30,2.3217847,0.6361868,0.00,23.5191402,0.0000301058
20:17:32.048 > 31,2.3225701,0.6363458,0.00,23.5282326,0.0000302648
20:17:32.051 > 32,2.3229582,0.6365119,0.00,23.5326366,0.0000304309
20:17:32.054 > 33,2.3235307,0.6367630,0.00,23.5391235,0.0000306820
20:17:32.057 > 34,2.3242791,0.6368977,0.00,23.5478077,0.0000308167
20:17:32.060 > 35,2.3249025,0.6370432,0.00,23.5550079,0.0000309622
20:17:32.062 > 36,2.3254938,0.6373056,0.00,23.5617046,0.0000312246
20:17:32.064 > 37,2.3261127,0.6374258,0.00,23.5688782,0.0000313448
20:17:32.066 > 38,2.3266988,0.6377275,0.00,23.5754719,0.0000316465
20:17:32.066 > 39,2.3272960,0.6378576,0.00,23.5823784,0.0000317765
20:17:32.073 > 40,2.3280387,0.6380011,0.00,23.5909863,0.0000319201
20:17:32.074 > 41,2.3286595,0.6382411,0.00,23.5980549,0.0000321601
20:17:32.077 > 42,2.3292105,0.6383576,0.00,23.6044312,0.0000322766
20:17:32.080 > 43,2.3298018,0.6386592,0.00,23.6110878,0.0000325782
20:17:32.083 > 44,2.3304758,0.6387594,0.00,23.6189289,0.0000326784
20:17:32.085 > 45,2.3309696,0.6389894,0.00,23.6245117,0.0000329084
20:17:32.088 > 46,2.3317115,0.6390713,0.00,23.6331749,0.0000329903
20:17:32.090 > 47,2.3323579,0.6393183,0.00,23.6405373,0.0000332373
20:17:32.093 > 48,2.3328869,0.6395915,0.00,23.6464882,0.0000335104
20:17:32.096 > 49,2.3335683,0.6399118,0.00,23.6541882,0.0000338308
20:17:32.098 > 50,2.3341773,0.6399792,0.00,23.6612988,0.0000338982
20:17:32.101 > 51,2.3347929,0.6401644,0.00,23.6683636,0.0000340834
20:17:32.103 > 52,2.3353643,0.6404689,0.00,23.6747837,0.0000343879
20:17:32.106 > 53,2.3359089,0.6407136,0.00,23.6809483,0.0000346326
20:17:32.108 > 54,2.3365712,0.6408585,0.00,23.6886063,0.0000347775
20:17:32.111 > 55,2.3371460,0.6410508,0.00,23.6951847,0.0000349697
20:17:32.113 > 56,2.3378005,0.6413763,0.00,23.7025604,0.0000352953
20:17:32.116 > 57,2.3383079,0.6415915,0.00,23.7083168,0.0000355105
20:17:32.116 > 58,2.3390882,0.6418515,0.00,23.7172451,0.0000357705
20:17:32.122 > 59,2.3396766,0.6420335,0.00,23.7239952,0.0000359525
20:17:32.123 > 60,2.3402777,0.6423441,0.00,23.7307568,0.0000362630
20:17:32.123 > 61,2.3408141,0.6425887,0.00,23.7368240,0.0000365077
20:17:32.123 > 62,2.3415451,0.6427103,0.00,23.7453175,0.0000366293
20:17:32.132 > 63,2.3420591,0.6430756,0.00,23.7509956,0.0000369946
20:17:32.134 > 64,2.3427224,0.6433544,0.00,23.7585258,0.0000372733
20:17:32.138 > 65,2.3432646,0.6435480,0.00,23.7647152,0.0000374670
20:17:32.140 > 66,2.3439062,0.6437122,0.00,23.7721100,0.0000376312
20:17:32.142 > 67,2.3445418,0.6440883,0.00,23.7792110,0.0000380073
20:17:32.145 > 68,2.3451135,0.6444246,0.00,23.7856007,0.0000383435
20:17:32.148 > 69,2.3456869,0.6447220,0.00,23.7920494,0.0000386410
20:17:32.150 > 70,2.3464630,0.6449578,0.00,23.8009529,0.0000388768
20:17:32.151 > 71,2.3471026,0.6451598,0.00,23.8082848,0.0000390788
20:17:32.156 > 72,2.3475761,0.6455541,0.00,23.8134556,0.0000394731
20:17:32.158 > 73,2.3482561,0.6458670,0.00,23.8211460,0.0000397860
20:17:32.160 > 74,2.3488731,0.6460617,0.00,23.8282185,0.0000399806
20:17:32.160 > 75,2.3495238,0.6464611,0.00,23.8354702,0.0000403801
20:17:32.165 > 76,2.3500583,0.6468025,0.00,23.8414154,0.0000407215
20:17:32.167 > 77,2.3506351,0.6470261,0.00,23.8479824,0.0000409451
20:17:32.170 > 78,2.3512731,0.6474887,0.00,23.8550205,0.0000414077
20:17:32.174 > 79,2.3520107,0.6476964,0.00,23.8635025,0.0000416154
20:17:32.175 > 80,2.3524868,0.6479237,0.00,23.8688755,0.0000418427
20:17:32.178 > 81,2.3531039,0.6483924,0.00,23.8756599,0.0000423114
20:17:32.180 > 82,2.3537633,0.6485640,0.00,23.8832588,0.0000424830
20:17:32.183 > 83,2.3543334,0.6489971,0.00,23.8895264,0.0000429161
20:17:32.186 > 84,2.3549335,0.6492769,0.00,23.8963108,0.0000431958
20:17:32.189 > 85,2.3556061,0.6497843,0.00,23.9037075,0.0000437033
20:17:32.191 > 86,2.3561740,0.6499841,0.00,23.9101944,0.0000439031
20:17:32.194 > 87,2.3567343,0.6504163,0.00,23.9163475,0.0000443352
20:17:32.196 > 88,2.3574042,0.6509523,0.00,23.9236870,0.0000448713
20:17:32.198 > 89,2.3579328,0.6512381,0.00,23.9296207,0.0000451571
20:17:32.201 > 90,2.3587162,0.6516412,0.00,23.9384346,0.0000455602
20:17:32.204 > 91,2.3592794,0.6520089,0.00,23.9446907,0.0000459279
20:17:32.207 > 92,2.3599102,0.6524168,0.00,23.9517021,0.0000463358
20:17:32.209 > 93,2.3603785,0.6528050,0.00,23.9568157,0.0000467240
20:17:32.211 > 94,2.3611906,0.6533055,0.00,23.9658680,0.0000472245
20:17:32.213 > 95,2.3616123,0.6536820,0.00,23.9704456,0.0000476010
20:17:32.216 > 96,2.3622546,0.6541062,0.00,23.9775734,0.0000480252
20:17:32.216 > 97,2.3629088,0.6546685,0.00,23.9846973,0.0000485874
20:17:32.222 > 98,2.3635068,0.6549023,0.00,23.9915047,0.0000488213
20:17:32.225 > 99,2.3641241,0.6555744,0.00,23.9980793,0.0000494934
20:17:32.227 > 100,2.3647308,0.6558785,0.00,24.0049133,0.0000497975
20:17:32.230 > 101,2.3654399,0.6563995,0.00,24.0127296,0.0000503185
20:17:32.232 > 102,2.3659472,0.6568673,0.00,24.0182209,0.0000507863
20:17:32.235 > 103,2.3666449,0.6573734,0.00,24.0259151,0.0000512924
20:17:32.237 > 104,2.3671916,0.6578790,0.00,24.0318317,0.0000517980
20:17:32.240 > 105,2.3676476,0.6584959,0.00,24.0365620,0.0000524149
20:17:32.243 > 106,2.3684666,0.6589478,0.00,24.0457478,0.0000528668
20:17:32.245 > 107,2.3689263,0.6595156,0.00,24.0505714,0.0000534345
20:17:32.248 > 108,2.3695877,0.6599950,0.00,24.0578671,0.0000539140
20:17:32.250 > 109,2.3702247,0.6606395,0.00,24.0647030,0.0000545585
